"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"Module_1762","Module_1762",0.000669819014886235,0.00472360274850621,-37.680617744392,-48.3988108557308,7,2,9.77812388110689,0,0,FALSE
"Module_12592","Module_12592",1.24958316305422e-05,0.000150717398824823,-41.9548415678538,-57.1375976436358,7,2,14.8170849294501,0,0,FALSE
"Module_12593","Module_12593",9.19009437421159e-05,0.00086549355572562,-40.53741853693,-53.5044654948156,7,2,12.6333055499715,0,0,FALSE
"Module_1765","Module_1765",8.32905396162328e-09,2.05727632852095e-07,-38.8997856912664,-61.9920952979847,7,2,14.41524176856,0,0,FALSE
"Module_20430","Module_20430",0.0010905080599557,0.00710665992260868,-31.3539798406132,-41.5115097498724,7,2,6.35961456554392,0,0,FALSE
"Module_20432","Module_20432",9.0810892882243e-05,0.000856840252714316,-48.1105141599164,-61.0909240549033,7,2,28.0134841148465,0,0,FALSE
"Module_6992","Module_6992",9.36526491118934e-05,0.000880557988298445,-41.5688161246523,-54.5147142997802,7,2,23.0205188608039,0,0,FALSE
"Module_12598","Module_12598",5.72383111557406e-07,9.63810809469374e-06,-34.6638092494023,-53.2129456776382,7,2,10.0209301032131,0,0,FALSE
"Module_39667","Module_39667",0.00125981827922639,0.0079851296819795,-29.2962229086936,-39.2869192106816,7,2,5.44852124025075,0,0,FALSE
"Module_20436","Module_20436",0.000264421225905098,0.00214547822977935,-46.1505965691712,-57.9275916546477,7,2,43.4261951733441,0,0,FALSE
"Module_12601","Module_12601",3.13976978149775e-05,0.000338538487340334,-30.8451237774138,-45.0092087234388,7,2,6.66328127153545,0,0,FALSE
"Module_8771","Module_8771",1.3563939333743e-09,3.89235753040503e-08,-47.5296558503331,-72.5524132612077,7,2,22.3559466590691,0,0,FALSE
"Module_20438","Module_20438",1.12091599169817e-17,1.18051218292648e-15,-43.7753327863461,-88.2462394269279,7,2,21.7442882586999,0,0,FALSE
"Module_20440","Module_20440",4.16623513597781e-07,7.22069706455457e-06,-56.8123012522037,-75.7051762032186,7,2,109.0715127243,0,0,FALSE
"Module_28289","Module_28289",1.98597486795165e-32,1.23011283320925e-29,-46.6556286662345,-125.946093089712,7,2,44.4509944876107,0,0,FALSE
"Module_14208","Module_14208",1.71081702444801e-08,3.98606505910308e-07,-53.6784459323693,-76.0023722230739,7,2,73.8707889013777,0,0,FALSE
"Module_14211","Module_14211",0.000903741992804425,0.00608963286565673,-41.5296600287456,-51.9037741538554,7,2,15.6070333174628,0,0,FALSE
"Module_14216","Module_14216",5.10043545154684e-06,6.82190206464643e-05,-59.3842925340528,-75.5515492037531,7,2,173.926582038888,0,0,FALSE
"Module_14219","Module_14219",5.01421953175713e-05,0.000511164297708097,-54.3759149761648,-68.0196055913439,7,2,60.3820860097916,0,0,FALSE
"Module_14221","Module_14221",0.000201048548220458,0.00170015030453767,-35.1725878708166,-47.2594161743256,7,2,8.85592266544884,0,0,FALSE
"Module_14222","Module_14222",4.43014558585858e-19,5.7536158526533e-17,-46.6170786566384,-94.4250777944627,7,2,36.0654656238277,0,0,FALSE
"Module_14223","Module_14223",6.05463865871933e-05,0.000602932987976006,-37.7414775916273,-51.1749852550679,7,2,14.5054635048947,0,0,FALSE
"Module_14224","Module_14224",1.21764883378114e-13,7.08435833769689e-12,-30.1292306961308,-64.949283658256,7,2,8.92319275704852,0,0,FALSE
"Module_1772","Module_1772",0.00143064723669483,0.00888184073585448,-43.973214865245,-53.8165910436279,7,2,16.6101783608281,0,0,FALSE
"Module_14229","Module_14229",0.000718825158007933,0.0050148361959032,-35.810510605383,-46.4477284669547,7,2,8.53226880914684,0,0,FALSE
"Module_20454","Module_20454",5.04974493766977e-08,1.06499623329242e-06,-47.3272576821922,-68.4924552064113,7,2,32.4846216065932,0,0,FALSE
"Module_20455","Module_20455",0.000133753081949059,0.00119579920250269,-42.9019797219769,-55.4479414398804,7,2,21.3500487061915,0,0,FALSE
"Module_28294","Module_28294",0.000166262498690102,0.00144451757871433,-44.4581181658912,-56.7592182053467,7,2,32.9608584144061,0,0,FALSE
