Module,6hrs.ATACSeq_REPLICANT.1,6hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_5536,22,12,12,11
Module_17345,12,7,12,8
Module_7,14,10,20,20
Module_19444,4,7,6,3
Module_17346,30,16,32,28
Module_27459,8,4,12,13
Module_19445,21,30,9,8
Module_33318,2,2,14,6
Module_17347,25,35,41,44
Module_29177,24,42,26,36
Module_17348,18,33,36,25
Module_29178,21,35,21,28
Module_17349,19,37,43,26
Module_19446,12,16,13,21
Module_19447,4,8,6,8
Module_17350,8,12,34,21
Module_19448,2,1,6,6
Module_5537,11,8,35,45
Module_8,18,25,25,30
Module_5538,14,9,48,57
Module_9,20,27,30,32
Module_5539,12,8,47,56
Module_14424,33,26,28,52
Module_10,22,30,44,45
Module_5540,11,28,14,4
Module_33319,12,8,6,11
Module_27460,16,16,25,25
Module_27461,10,2,10,4
Module_5541,8,10,23,32
Module_11,15,5,30,22
Module_5542,8,9,24,36
Module_12,14,4,31,21
Module_33320,52,57,86,100
Module_13,8,2,7,6
Module_5543,69,67,54,61
Module_27462,2,2,12,12
Module_19449,33,42,38,36
Module_5544,6,13,26,32
Module_33321,20,23,43,35
Module_14,10,21,17,28
Module_15,6,5,10,17
Module_19450,12,10,10,17
Module_17351,13,19,3,9
Module_19451,4,4,11,12
Module_17352,8,30,58,69
Module_19452,2,1,9,10
Module_16,38,54,59,59
Module_27463,6,7,7,5
Module_27464,16,20,24,23
Module_17,1,7,6,9
Module_27465,5,0,16,18
Module_18,4,2,16,20
Module_19,108,93,123,123
Module_20,50,31,63,39
Module_3786,8,8,7,2
Module_37084,31,56,88,82
Module_19453,8,8,8,14
Module_21,65,102,81,84
Module_3787,25,15,23,29
Module_17353,6,2,14,17
Module_3788,28,15,27,28
Module_17354,4,4,10,14
Module_27466,10,12,10,26
Module_17355,2,4,11,8
Module_17356,6,16,39,47
Module_29179,12,20,32,52
Module_17357,38,29,44,36
Module_29180,12,22,34,54
Module_17358,45,34,46,39
Module_29181,12,22,36,58
Module_17359,46,35,46,39
Module_33322,42,63,39,40
Module_19454,7,1,15,22
Module_17360,4,15,9,13
Module_29182,0,10,24,12
Module_27467,23,22,43,21
Module_3789,0,6,12,9
Module_17361,14,16,18,15
Module_33323,26,30,34,28
Module_22,81,93,121,146
Module_27468,18,24,37,28
Module_17362,24,22,19,25
Module_27469,24,36,43,39
Module_33324,22,24,31,35
Module_33325,8,8,9,2
Module_27470,36,29,47,45
Module_33326,6,8,4,8
Module_27471,50,59,90,74
Module_23,72,116,78,129
Module_29183,16,7,22,18
Module_24,53,80,68,97
Module_27472,36,29,29,23
Module_29184,27,18,28,24
Module_27473,37,30,33,25
Module_29185,30,24,32,20
Module_27474,52,41,54,24
Module_29186,0,10,11,6
Module_27475,4,7,24,30
Module_29187,15,12,26,20
Module_27476,8,10,10,7
Module_27477,2,6,10,18
Module_25,74,96,99,117
Module_17363,24,26,44,46
Module_33327,2,9,15,7
Module_3790,4,13,29,18
Module_29188,2,2,17,19
Module_33328,4,12,16,20
Module_3791,12,2,2,4
Module_27478,5,0,12,11
Module_29189,6,11,12,20
Module_12921,0,6,29,32
Module_27479,24,13,26,14
Module_33329,4,3,20,21
Module_33330,4,2,23,9
Module_17364,32,24,36,38
Module_33331,4,4,16,17
Module_17365,21,50,55,47
Module_12922,12,11,33,15
Module_29190,0,1,5,13
Module_12923,24,32,32,38
Module_33332,70,82,119,119
Module_27480,3,9,24,19
Module_12924,13,2,25,11
Module_27481,9,17,25,26
Module_27482,41,65,27,27
Module_33333,9,6,26,15
Module_17366,42,44,68,89
Module_17367,48,24,23,23
Module_26,22,28,30,29
Module_17368,6,10,16,10
Module_27,2,7,13,12
Module_17369,60,46,89,43
Module_33334,137,125,122,148
Module_7615,4,3,9,6
Module_33335,111,98,87,110
Module_28,6,11,14,9
Module_17370,77,114,110,124
Module_29,12,13,14,25
Module_30,4,17,24,10
Module_3792,0,3,5,14
Module_17371,138,120,108,114
Module_3793,4,5,2,6
Module_14425,31,25,37,36
Module_3794,6,3,2,5
Module_14426,70,58,58,69
Module_33336,151,167,163,183
Module_27483,10,12,14,16
Module_22272,16,16,10,29
Module_14427,64,68,81,80
Module_33337,19,17,44,33
Module_31,14,24,43,34
Module_33338,21,16,45,36
Module_32,29,54,93,77
Module_29191,2,5,11,19
Module_29192,5,2,11,15
Module_33,30,26,30,32
Module_27484,10,14,14,13
Module_33339,29,34,36,37
Module_29193,6,8,6,6
Module_33340,15,9,34,23
Module_29194,6,18,24,14
Module_33341,8,18,35,32
Module_34,28,29,32,28
Module_29195,8,16,23,16
Module_35,29,29,33,28
Module_29196,9,15,26,14
Module_33342,6,19,32,36
Module_36,33,34,35,32
Module_33343,7,19,32,36
Module_29197,11,15,25,14
Module_33344,11,21,28,34
Module_29198,9,4,26,11
Module_29199,6,10,11,20
Module_29200,18,22,50,50
Module_33345,33,52,44,44
Module_29201,6,6,21,14
Module_14428,14,45,24,33
Module_29202,14,20,46,42
Module_37,41,63,82,90
Module_17372,37,34,28,29
Module_33346,5,4,12,17
Module_7616,0,4,32,26
Module_17373,46,49,68,60
Module_33347,14,16,10,14
Module_33348,6,2,6,7
Module_29203,0,1,26,13
Module_33349,6,13,14,12
Module_29204,6,7,29,12
Module_33350,5,9,6,2
Module_27485,13,11,23,26
Module_33351,10,18,32,34
Module_29205,12,20,30,28
Module_14429,18,17,43,39
Module_17374,35,22,53,49
Module_29206,4,0,16,2
Module_38,30,32,34,54
Module_29207,14,19,28,30
Module_17375,11,6,20,12
Module_12925,42,56,46,81
Module_3795,18,23,16,24
Module_22273,13,6,12,13
Module_27486,34,57,94,89
Module_14430,12,23,21,29
Module_33352,16,24,27,24
Module_7617,22,30,12,14
Module_22274,72,45,43,83
Module_14431,36,51,42,24
Module_17376,7,4,33,38
Module_39,6,2,20,17
Module_17377,14,16,14,14
Module_40,8,2,18,17
Module_41,22,20,53,43
Module_42,4,0,8,10
Module_33353,5,13,12,15
Module_43,4,2,7,9
Module_17378,40,32,27,29
Module_17379,3,2,8,6
Module_44,9,4,13,17
Module_27487,4,6,20,7
Module_22275,15,24,13,24
Module_45,0,2,22,4
Module_12926,0,2,0,4
Module_22276,13,19,10,22
Module_46,0,3,16,11
Module_17380,20,30,42,50
Module_12927,6,11,44,55
