Module,6hrs.H3K27ac_REPLICANT.1,6hrs.H3K27ac_REPLICANT.2,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2
Module_9,9,19,17,49
Module_5539,17,8,19,28
Module_14424,30,42,38,65
Module_10,19,27,26,66
Module_5540,14,29,25,27
Module_33319,10,15,11,22
Module_27460,10,19,19,35
Module_27461,3,5,6,10
Module_5541,18,14,25,41
Module_11,14,15,20,25
Module_5542,13,11,19,36
Module_12,11,13,21,24
Module_33320,16,31,36,32
Module_13,8,11,20,21
Module_5543,29,29,36,46
Module_27462,7,5,9,22
Module_19449,45,58,45,101
Module_5544,17,18,23,33
Module_33321,9,13,15,17
Module_14,10,19,23,38
Module_15,7,7,23,26
Module_19450,9,18,14,22
Module_17351,45,50,46,76
Module_19451,13,10,15,17
Module_17352,31,51,56,92
Module_19452,4,4,3,10
Module_16,38,66,50,88
Module_27463,6,7,8,9
Module_27464,12,36,23,53
Module_17,5,22,21,34
Module_27465,7,8,7,13
Module_18,7,8,11,23
Module_19,14,27,19,49
Module_20,38,77,45,96
Module_3786,4,8,9,8
Module_37084,13,30,20,48
Module_19453,9,13,21,29
Module_21,18,38,23,52
Module_3787,30,57,37,70
Module_17353,9,17,17,24
Module_3788,38,73,44,82
Module_17354,8,16,16,23
Module_27466,13,13,17,20
Module_17355,28,31,43,57
Module_17356,30,35,39,81
Module_29179,6,9,15,16
Module_17357,8,24,26,31
Module_29180,11,9,15,18
Module_17358,11,25,29,36
Module_29181,10,8,14,18
Module_17359,12,23,27,31
Module_33322,49,55,54,88
Module_19454,7,10,13,13
Module_17360,8,9,10,19
Module_29182,5,9,6,9
Module_27467,12,25,25,39
Module_3789,4,2,7,5
Module_17361,6,1,6,11
Module_33323,13,32,19,39
Module_22,18,36,36,55
Module_27468,9,20,19,46
Module_17362,10,9,13,31
Module_27469,8,21,19,41
Module_33324,10,21,26,30
Module_33325,11,10,10,22
Module_27470,11,13,14,19
Module_33326,14,13,15,24
Module_27471,22,19,24,36
Module_23,21,34,33,60
Module_29183,4,19,19,33
Module_24,18,33,29,53
Module_27472,7,13,5,24
Module_29184,10,22,16,32
Module_27473,5,12,4,20
Module_29185,13,24,18,38
Module_27474,10,23,11,34
Module_29186,3,4,10,16
Module_27475,8,9,11,16
Module_29187,9,12,6,12
Module_27476,7,9,18,22
Module_27477,8,12,13,15
Module_25,37,64,62,80
Module_17363,32,46,48,70
Module_33327,5,5,11,18
Module_3790,5,15,8,13
Module_29188,9,3,11,14
Module_33328,6,9,8,16
Module_3791,7,7,7,13
Module_27478,8,9,11,11
Module_29189,14,12,16,17
Module_12921,7,5,15,8
Module_27479,16,19,28,29
Module_33329,17,17,18,27
Module_33330,10,5,12,16
Module_17364,64,89,61,131
Module_33331,14,27,17,43
Module_17365,47,75,52,65
Module_12922,7,15,17,17
Module_29190,9,10,8,20
Module_12923,9,22,14,33
Module_33332,7,18,24,34
Module_27480,17,25,17,27
Module_12924,6,7,8,16
Module_27481,15,10,10,20
Module_27482,31,51,19,37
Module_33333,8,10,13,19
Module_17366,9,5,19,18
Module_17367,4,10,25,21
Module_26,12,18,26,50
Module_17368,11,16,14,17
Module_27,8,9,30,28
Module_17369,21,41,33,52
Module_33334,56,137,81,149
Module_7615,3,10,7,17
Module_33335,27,56,45,75
Module_28,10,16,17,36
Module_17370,63,85,66,134
Module_29,28,24,41,50
Module_30,27,36,45,56
Module_3792,7,6,10,9
Module_17371,13,20,16,35
Module_3793,5,8,6,12
Module_14425,18,41,40,50
Module_3794,1,4,9,7
Module_14426,25,41,47,75
Module_33336,22,45,33,67
Module_27483,8,10,3,16
Module_22272,9,7,6,13
Module_14427,5,11,14,13
Module_33337,18,21,29,51
Module_31,12,12,12,24
Module_33338,24,23,36,59
Module_32,57,74,85,154
Module_29191,11,16,23,25
Module_29192,24,38,20,31
Module_33,30,38,49,92
Module_27484,8,13,12,15
Module_33339,6,7,11,19
Module_29193,34,47,38,62
Module_33340,3,17,14,17
Module_29194,20,25,20,44
Module_33341,5,24,22,25
Module_34,17,15,19,48
Module_29195,21,25,23,44
