"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"IL17RD","IL17RD",2.12688400391454e-53,1.72833125362861e-52,-329.40707216564,-457.697859651437,7,2,10412.5056883306,0,0,FALSE
"RPL19P2","RPL19P2",0.00224123880461924,0.00366878928752326,-44.9008752645559,-54.2215604310286,7,2,3.78739251699201,0,0,FALSE
"MTMR9LP","MTMR9LP",2.15790328785461e-102,3.61756486545665e-101,-194.060656730618,-436.110421961075,7,2,775.557050208687,0,0,FALSE
"HESX1","HESX1",1.63086985031298e-146,4.17013555842664e-145,-288.428697463333,-632.598381994494,7,2,1236.16533025082,0,0,FALSE
"APPL1","APPL1",2.59172006618907e-12,6.87184333357331e-12,-187.938808237429,-219.560646529559,7,2,11618.2278355014,0,0,FALSE
"ASB14","ASB14",9.34447135045594e-05,0.000168289910304675,-82.0540462525341,-95.0024342987652,7,2,74.620867244627,0,0,FALSE
"PDE12","PDE12",1.42762626499929e-25,6.08911407085035e-25,-183.971755753606,-247.137993481647,7,2,4772.25632329914,0,0,FALSE
"ARF4","ARF4",1.25478094463687e-30,6.15876340558647e-30,-212.123619811562,-287.186942536095,7,2,14714.9141980592,0,0,FALSE
"DENND6A","DENND6A",4.56913424462966e-58,4.0382929608249e-57,-146.384020886777,-285.544147000565,7,2,3973.55548030192,0,0,FALSE
"LOC101929159","LOC101929159",0.00098226059808663,0.00165144134873605,-64.2956691085085,-74.5738071988199,7,2,15.7505674353152,0,0,FALSE
"FAM167B","FAM167B",2.26335651351144e-12,6.01152943859755e-12,-132.808922307527,-164.572744958405,7,2,87.5050198255391,0,0,FALSE
"SLMAP","SLMAP",1.39333756439285e-104,2.39835902118552e-103,-250.285992621022,-497.409352572858,7,2,10030.4447338163,0,0,FALSE
"FLNB","FLNB",1.08958566258707e-101,1.81380163454286e-100,-253.663125472527,-494.083555828545,7,2,60990.0434361525,0,0,FALSE
"LOC101929182","LOC101929182",3.31051381883348e-60,3.05265575114006e-59,-165.308303123211,-309.448187176215,7,2,361.635679185051,0,0,FALSE
"ABHD6","ABHD6",2.00911475134067e-62,1.91321532152506e-61,-147.630299495517,-296.927133096202,7,2,751.177512736443,0,0,FALSE
"RPP14","RPP14",9.18733703671967e-05,0.000165537266019195,-163.693593898217,-176.660976938663,7,2,4625.91644126051,0,0,FALSE
"PXK","PXK",2.23780467548281e-08,4.95411847782985e-08,-138.52943595893,-160.566277441192,7,2,1044.42400234786,0,0,FALSE
"PDHB","PDHB",4.45854844608501e-08,9.71369339909089e-08,-178.168926885549,-199.467638237408,7,2,15198.189854925,0,0,FALSE
"LCK","LCK",9.70501052250082e-230,4.65825411751078e-228,-266.361157342362,-802.828707436409,7,2,6051.43937805003,0,0,FALSE
"KCTD6","KCTD6",2.44786865755331e-63,2.37201162882473e-62,-178.003293161479,-329.426258530281,7,2,2029.49399491795,0,0,FALSE
"ACOX2","ACOX2",5.91562212707558e-15,1.75097195461718e-14,-101.407429042938,-139.378396161733,7,2,172.771045536814,0,0,FALSE
"FAM107A","FAM107A",3.38224971922028e-135,7.77262643963481e-134,-82.0990512685359,-400.092574748202,7,2,81.141827213157,0,0,FALSE
"C3orf67","C3orf67",9.76056949745547e-85,1.3040712398267e-83,-149.12253128392,-350.242532110147,7,2,922.014550983108,0,0,FALSE
"FHIT","FHIT",1.06695339686375e-60,9.88870350973152e-60,-96.9583437442314,-242.242301112826,7,2,100.10187829569,0,0,FALSE
"HDAC1","HDAC1",9.82184039450479e-19,3.35805317487096e-18,-237.686242674388,-284.672605080623,7,2,13249.5483028592,0,0,FALSE
"PTPRG","PTPRG",1.41768909037806e-66,1.44546212079082e-65,-269.391734451022,-428.340938637236,7,2,21009.6575731505,0,0,FALSE
"LOC101929296","LOC101929296",0.00081070362313586,0.00137145066437415,-112.205678255891,-122.704764850658,7,2,128.68190026832,0,0,FALSE
"ID2B","ID2B",0.000989490646026458,0.00166309232950442,-57.3871132942585,-67.6567971247013,7,2,9.9383117026329,0,0,FALSE
