"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MRPL11",8855.63846771563,-0.642493642156279,0.140886220230084,-4.56037248431401,5.10629627351568e-06,1.73781145055041e-05
"DPP3",7611.76605556565,-0.391012809828933,0.0948749460108853,-4.12134948444736,3.76659523745772e-05,0.0001158938776432
"BBS1",3113.17146777265,1.00156768206281,0.124185873629054,8.06506934157835,7.31943104417597e-16,5.35016526854268e-15
"ZDHHC24",516.838423401268,-0.474811251335116,0.163850501670838,-2.89783214877774,0.00375751628584313,0.00857091105068965
"ACTN3",3869.77707286867,2.48470056274317,0.256275545831852,9.69542589277496,3.15319369518973e-22,3.17402124187071e-21
"CTSF",33.7817741924787,1.95770528539237,0.400909818922842,4.88315624359688,1.04401079628393e-06,3.81614990826864e-06
"CCS",2103.73737831142,0.685198926709401,0.109213127943411,6.27396119507205,3.51976266399911e-10,1.76607999519037e-09
"RBM4B",1723.6693626843,0.605362435745144,0.133045303823152,4.55004737746934,5.36338381675964e-06,1.82128535567954e-05
"C11orf80",1754.11206961039,-0.278615821990251,0.09032832840464,-3.08447888841857,0.00203909081273598,0.00486604591983208
"PC",2342.17239291258,-0.323232774700693,0.110856006896116,-2.91578944390084,0.00354789846793285,0.00812844284952853
"LRFN4",3941.99943124856,-0.261442713042758,0.0957135867533802,-2.73151097885823,0.00630446404232864,0.0137848357922521
"C11orf86",19.8931288719208,-3.72659734565872,0.606117944781226,-6.14830393613211,7.8315855868127e-10,3.82132392780221e-09
"SYT12",137.311818885325,0.844398037298564,0.340590679920606,2.47921651143067,0.0131671352398003,0.0268826609486901
"RHOD",346.9569555626,-0.47163216258651,0.153518718480715,-3.07214760033159,0.00212524608780884,0.00505507717365202
"LOC101929403",31.493146866339,1.137671035251,0.371282094731444,3.06416886619297,0.00218275664537288,0.00517871263473153
"KDM2A",9153.24674145107,0.339293136937182,0.118156256827336,2.87156301365402,0.00408447340750569,0.0092670489879286
"LOC100130987",38.7553282745544,1.93384944209312,0.381468270068002,5.06948963736457,3.98883853568191e-07,1.51771571632014e-06
"POLD4",684.473164710044,0.267339927242299,0.118975191312309,2.24702246151918,0.0246385916546296,0.047375789645771
