"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"Module_29230","Module_29230",2.10534410796934e-05,0.00058619128029705,-43.46757912042,-58.0744149625797,7,2,28.5436458257251,0,0,FALSE
"Module_17451","Module_17451",9.8365506953613e-07,4.24014312147689e-05,-42.4050226155828,-60.3670103207648,7,2,24.1000241673156,0,0,FALSE
"Module_14467","Module_14467",0.000516046243632209,0.00833060858655829,-51.8466073000722,-62.8632016865489,7,2,53.5519214528128,0,0,FALSE
"Module_14468","Module_14468",1.37806592288394e-09,1.34015246669638e-07,-39.5863586627913,-64.5922955448706,7,2,20.9622036603477,0,0,FALSE
"Module_14470","Module_14470",1.32114953722364e-05,0.000395176831487081,-45.0861439048408,-60.207518009604,7,2,37.7591172053463,0,0,FALSE
"Module_5592","Module_5592",0.000381887816198239,0.00655099504386761,-48.2884999276551,-59.648263545626,7,2,44.3715507793575,0,0,FALSE
"Module_27528","Module_27528",7.54515831268139e-08,4.38348656315823e-06,-41.2137277301373,-61.9479326882173,7,2,20.0205428677938,0,0,FALSE
"Module_141","Module_141",0.000204689079477887,0.00389460634634179,-45.1132203214697,-57.1797850638284,7,2,28.5578036906051,0,0,FALSE
"Module_142","Module_142",2.4765372980747e-07,1.26532827611403e-05,-44.9600711718574,-64.4148281912812,7,2,25.6591726788485,0,0,FALSE
"Module_27537","Module_27537",2.55269672276164e-05,0.000688834602916263,-45.7596648425301,-60.1532319830678,7,2,37.6156434499383,0,0,FALSE
"Module_149","Module_149",9.68042084100116e-05,0.00210104271417546,-50.1563750798574,-63.0651917104596,7,2,43.9660460257151,0,0,FALSE
"Module_150","Module_150",1.16758021670353e-09,1.16356304714606e-07,-40.8669173228166,-66.0487031908205,7,2,23.763501304728,0,0,FALSE
"Module_33421","Module_33421",0.00021648819942763,0.00408819483919129,-48.2105685259579,-60.2138247838063,7,2,59.9712599037727,0,0,FALSE
"Module_33422","Module_33422",6.52246047461428e-09,5.20001546868209e-07,-48.3090158544211,-71.6619496373925,7,2,52.2993540035921,0,0,FALSE
"Module_33423","Module_33423",3.80425559027735e-08,2.43116086222471e-06,-47.376560292865,-68.8453617097354,7,2,43.5540758763925,0,0,FALSE
"Module_33424","Module_33424",1.20597010682583e-07,6.69704309943651e-06,-52.2423463309156,-72.472422651624,7,2,86.4780932837758,0,0,FALSE
"Module_33426","Module_33426",5.19058066917824e-05,0.00125587721347227,-47.0823271213426,-60.6875091345072,7,2,37.4143779704264,0,0,FALSE
"Module_27551","Module_27551",1.08896924890936e-11,1.91069650125928e-09,-44.0959580131851,-74.2114201813468,7,2,38.2191451925358,0,0,FALSE
"Module_27552","Module_27552",4.10548437121439e-05,0.00102665159173579,-41.8394727376007,-55.7056896922899,7,2,28.6679666687059,0,0,FALSE
"Module_33445","Module_33445",4.4164778194962e-07,2.08210554438801e-05,-48.3084300018306,-67.138216450146,7,2,51.6252366277985,0,0,FALSE
"Module_38939","Module_38939",7.59160597863492e-10,8.0645289790454e-08,-47.2214277859892,-72.8595922035061,7,2,44.7295189648771,0,0,FALSE
"Module_29241","Module_29241",0.000205469758336987,0.00390761357600635,-57.0198590006638,-69.0821248371548,7,2,95.2488202753831,0,0,FALSE
"Module_29246","Module_29246",2.90299766689775e-05,0.000765908185235716,-53.8329918038791,-68.0840422380829,7,2,60.0106994948097,0,0,FALSE
"Module_29247","Module_29247",2.64126494929575e-09,2.35787069010192e-07,-39.9233969824974,-64.238395317605,7,2,19.7478989992545,0,0,FALSE
"Module_29248","Module_29248",0.000552014151329518,0.00879835381895397,-48.5367736984187,-59.4763822544074,7,2,46.9936595938039,0,0,FALSE
"Module_27560","Module_27560",8.34133183043808e-12,1.52650164011485e-09,-46.5304892345473,-76.9259774166089,7,2,41.7987204108785,0,0,FALSE
"Module_27561","Module_27561",9.65346549142348e-10,9.91474934056635e-08,-45.8060013534577,-71.1894923289974,7,2,36.5637323595414,0,0,FALSE
"Module_31215","Module_31215",2.64300019128583e-07,1.3435584684515e-05,-46.5843757912091,-65.9689283492995,7,2,35.9801912713155,0,0,FALSE
"Module_33451","Module_33451",3.80682661352527e-05,0.000962125839843947,-49.092086044074,-63.0422597821426,7,2,52.0234069249771,0,0,FALSE
"Module_33452","Module_33452",3.10089880841675e-12,6.33732420942471e-10,-57.0115806755299,-88.4453815176266,7,2,100.197264571265,0,0,FALSE
"Module_31218","Module_31218",5.60983499495522e-08,3.41690721228279e-06,-47.5823313445265,-68.6346977664053,7,2,42.532694772229,0,0,FALSE
"Module_5613","Module_5613",5.67356557711843e-06,0.000193251627496079,-41.0166089263999,-57.0671585788938,7,2,19.319635338383,0,0,FALSE
"Module_5614","Module_5614",0.000135075431629189,0.00278999734721901,-41.1531655198409,-53.6880673072654,7,2,21.418401117314,0,0,FALSE
"Module_33455","Module_33455",1.99868694624266e-06,7.85831397877692e-05,-46.5227789054502,-63.7136059129407,7,2,49.1896523851071,0,0,FALSE
"Module_31230","Module_31230",7.36683814311212e-05,0.00168424912254308,-42.6616518526278,-55.8761105963337,7,2,26.6780891810609,0,0,FALSE
"Module_7646","Module_7646",8.40494290173504e-05,0.00186853344100914,-40.6830273653237,-53.7500532748883,7,2,16.7620324012219,0,0,FALSE
"Module_5622","Module_5622",9.92531240186078e-06,0.000310010087363318,-44.7969201211727,-60.2332634730713,7,2,25.9757705430519,0,0,FALSE
"Module_13016","Module_13016",2.01649713749164e-05,0.000564970015675372,-47.4496225016551,-62.1041422623944,7,2,41.17667884939,0,0,FALSE
"Module_3797","Module_3797",1.8966490461162e-06,7.53810338062035e-05,-37.3857910866861,-54.6337136404969,7,2,13.1955372122077,0,0,FALSE
"Module_17516","Module_17516",0.000156529679076629,0.00312706984979919,-48.2260449406119,-60.595089192706,7,2,48.6455624177618,0,0,FALSE
"Module_7661","Module_7661",5.06381939401739e-10,5.74294176401504e-08,-50.465079190596,-76.5321064399054,7,2,60.1466609987907,0,0,FALSE
"Module_5629","Module_5629",1.95984711394922e-06,7.74341556964766e-05,-39.858104332942,-57.070314959231,7,2,20.3918140268476,0,0,FALSE
"Module_13032","Module_13032",5.55520199747215e-05,0.00133129754535849,-43.9038226547897,-57.4333422578927,7,2,30.2409619874318,0,0,FALSE
"Module_7673","Module_7673",0.000276793978451346,0.00502985852747302,-41.3146273782002,-53.0398160974578,7,2,23.3142791862885,0,0,FALSE
"Module_7675","Module_7675",2.99630883619311e-05,0.000786404107261869,-41.7268505600304,-55.942816255058,7,2,26.6475888421159,0,0,FALSE
"Module_31266","Module_31266",5.33059303644807e-07,2.44994299361228e-05,-43.5052219266124,-62.1314286662471,7,2,27.7049317657798,0,0,FALSE
"Module_31267","Module_31267",0.000427621975476947,0.00719151560345754,-43.9039448365805,-55.1349357841338,7,2,30.2023586683725,0,0,FALSE
"Module_31268","Module_31268",4.24739124803156e-07,2.01181434161175e-05,-39.2817102216071,-58.1537208527103,7,2,21.5732856178175,0,0,FALSE
"Module_31269","Module_31269",4.27246872530713e-17,2.20530594037936e-14,-43.3647606795896,-86.4512542912757,7,2,35.5590472397792,0,0,FALSE
"Module_31270","Module_31270",1.37022481329245e-10,1.8028307584303e-08,-45.5922545047856,-73.0410653921182,7,2,40.0091361776311,0,0,FALSE
"Module_16544","Module_16544",4.04054541789702e-06,0.000144696888925944,-49.0155739252617,-65.4378603324655,7,2,43.6266783444588,0,0,FALSE
"Module_27594","Module_27594",1.28322491381621e-06,5.33519929876647e-05,-46.0886606334083,-63.7617981944848,7,2,44.9594801645175,0,0,FALSE
"Module_173","Module_173",5.29411350678737e-09,4.37672081923545e-07,-46.5158247688073,-70.0910321902259,7,2,39.9989881516868,0,0,FALSE
"Module_16549","Module_16549",0.00013210793099887,0.00273741503342538,-41.988309449495,-54.5481830247769,7,2,24.6939802090323,0,0,FALSE
"Module_29251","Module_29251",3.92866580026091e-06,0.00014135121875273,-38.5580292872468,-55.0110336597066,7,2,13.3921259444551,0,0,FALSE
"Module_174","Module_174",0.000241073048478141,0.00448306790059051,-52.8361904481471,-64.7178279003317,7,2,57.8324724903603,0,0,FALSE
"Module_16550","Module_16550",1.51770092987283e-08,1.08726258251975e-06,-43.3115814517463,-65.7634825707013,7,2,33.4218537356951,0,0,FALSE
"Module_16551","Module_16551",2.02244916709516e-10,2.55253372778741e-08,-45.5629835225227,-72.6006364417021,7,2,38.8314336912108,0,0,FALSE
"Module_177","Module_177",3.83408341120232e-08,2.4463396548085e-06,-46.3973733986426,-67.85780652501,7,2,42.1926811205793,0,0,FALSE
"Module_178","Module_178",1.06553454084519e-05,0.000329236271289088,-46.7066225816256,-62.064860479475,7,2,42.0250439691155,0,0,FALSE
"Module_179","Module_179",6.32990741835196e-05,0.00149034153549864,-45.9006297361691,-59.2845235354056,7,2,35.6084398305482,0,0,FALSE
"Module_180","Module_180",2.86105768462014e-07,1.43986304300614e-05,-44.8089735840043,-64.1079462602593,7,2,33.2320365285225,0,0,FALSE
"Module_29254","Module_29254",3.18419364107947e-05,0.000830303239530445,-46.8968595831479,-61.0453553375212,7,2,26.6631875215041,0,0,FALSE
"Module_29255","Module_29255",3.6409170385567e-05,0.000928353140527746,-44.4116433910708,-58.4113259347569,7,2,23.1765436404701,0,0,FALSE
"Module_29256","Module_29256",0.000284736312402537,0.00514300972348072,-38.8339983814239,-50.5271240888634,7,2,18.1943140038274,0,0,FALSE
"Module_16555","Module_16555",4.10284045194384e-05,0.00102662808847552,-47.3315827580636,-61.198516033657,7,2,48.8975784568661,0,0,FALSE
"Module_14522","Module_14522",7.00736337640867e-06,0.000230117012151378,-56.1718042960511,-71.9907283696523,7,2,107.120555896144,0,0,FALSE
"Module_27616","Module_27616",1.5817235247039e-05,0.000462803567064706,-41.2290465210737,-56.1518525947268,7,2,22.7564406441819,0,0,FALSE
"Module_27617","Module_27617",0.000232105610635801,0.00434485348788651,-48.8676587077528,-60.7921738159955,7,2,54.5110296717473,0,0,FALSE
"Module_17583","Module_17583",1.17024423364525e-06,4.93026981700919e-05,-45.5278294175736,-63.3011454755428,7,2,31.9697902750744,0,0,FALSE
"Module_7682","Module_7682",0.000609236594099337,0.00958143535743492,-35.1773897714255,-46.0041717754363,7,2,8.70553104425234,0,0,FALSE
"Module_17592","Module_17592",9.67807896335863e-08,5.49575651824798e-06,-45.3010820390987,-65.7677718242174,7,2,36.7833779388103,0,0,FALSE
"Module_14546","Module_14546",4.78282077020167e-07,2.22871697950335e-05,-56.5230735706308,-75.2666442783779,7,2,113.975694566295,0,0,FALSE
"Module_17611","Module_17611",4.23489737017531e-08,2.6892934230383e-06,-49.6568144106961,-71.0106926933106,7,2,66.8997282232825,0,0,FALSE
