,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_11412,121.142012824576,1.08827107469634,0.276932389077348,3.92973562363766,8.50393097672414e-05,0.00371199118065847,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_11417,50.1170251768142,1.19416717193805,0.392169551999202,3.04502775865802,0.00232658835292873,0.0395398703108102,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_38020,144.533656774641,0.977474543558983,0.270192285898814,3.61769967009733,0.000297233011163438,0.00904433186354472,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_36634,46.5676081305765,-1.86899522896667,0.413993778661659,-4.51454907126546,6.34516294269408e-06,0.000553936501779897,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_4990,55.0026014204103,1.59504199174966,0.393702686475,4.05138711658485,5.09148886700721e-05,0.00259736770323344,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_4991,33.5317926844396,1.53492236262416,0.477267118847508,3.2160655993454,0.00129961121313793,0.0264093991918712,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_36645,21.2181307517141,-2.4666216589436,0.607637917706559,-4.05936098960628,4.92071914359544e-05,0.00255468061308115,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5008,69.3700221531867,1.67255389679908,0.350409316398892,4.77314334558135,1.81372600843854e-06,0.000215392813787562,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_36648,67.2270045523168,-1.5898626735811,0.341634639247494,-4.65369283712868,3.26042393549323e-06,0.000325299371768105,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_38046,15.893397739131,-2.11305437137103,0.668082542605799,-3.16286422203047,0.00156225176346396,0.0298944521719281,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5032,133.211651011032,0.98023629425716,0.259630314572503,3.77550786344491,0.00015968198668012,0.00592155716218453,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5046,35.2466484198492,-1.54019329386307,0.4443009223578,-3.466554347197,0.000527175148966534,0.0137973178323105,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_11484,40.6167502986091,1.32643238867809,0.432449601502697,3.06725311821063,0.00216035835840061,0.0376752626200744,6hrs_72hrs.H3K27ac.DESeq2_results.csv
