Module,3hrs.ATACSeq_REPLICANT.1,3hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_27444,32,23,17,20
Module_35480,22,22,26,13
Module_27445,52,28,41,40
Module_31182,12,10,11,10
Module_27446,63,58,71,55
Module_19431,110,110,116,113
Module_27447,37,47,77,70
Module_7597,51,34,58,52
Module_12889,16,12,47,63
Module_7598,61,38,52,46
Module_17322,48,45,42,40
Module_12890,18,21,45,59
Module_7599,49,33,46,39
Module_17323,57,54,47,44
Module_7600,45,29,44,37
Module_17324,92,90,65,67
Module_7601,19,22,24,24
Module_31183,20,25,12,24
Module_17325,99,91,78,99
Module_31184,21,34,15,30
Module_17326,206,150,174,211
Module_27448,11,6,6,8
Module_31185,48,47,40,43
Module_31186,12,8,5,8
Module_7602,45,43,37,34
Module_16511,41,37,147,162
Module_31187,4,8,8,6
Module_16512,37,35,135,129
Module_27449,14,10,15,6
Module_12891,118,86,96,129
Module_3781,12,8,12,12
Module_35481,10,15,12,4
Module_19432,4,0,7,6
Module_12892,56,43,21,25
Module_14411,55,59,48,30
Module_16513,6,4,2,2
Module_14412,22,18,38,20
Module_31188,12,12,30,26
Module_35482,0,14,6,16
Module_17327,90,82,103,85
Module_33302,76,64,38,49
Module_5505,48,35,31,43
Module_3782,17,12,12,25
Module_14413,10,16,20,25
Module_31189,8,2,11,5
Module_14414,10,16,25,23
Module_22264,50,53,57,83
Module_5506,20,14,20,22
Module_5507,14,22,25,19
Module_12893,52,39,38,40
Module_5508,11,19,20,20
Module_12894,50,38,38,40
Module_31190,26,27,36,36
Module_5509,19,19,20,21
Module_31191,30,30,36,40
Module_12895,65,52,47,51
Module_31192,32,33,37,47
Module_12896,66,51,48,49
Module_31193,33,33,36,49
Module_12897,37,24,27,19
Module_31194,17,17,14,35
Module_16514,15,17,18,11
Module_19433,23,14,6,5
Module_5510,58,50,64,36
Module_17328,19,19,12,14
Module_5511,57,42,64,34
Module_7603,8,8,12,11
Module_12898,18,10,13,22
Module_5512,110,83,48,61
Module_7604,15,2,18,7
Module_12899,51,42,20,10
Module_5513,78,56,65,51
Module_19434,12,34,29,12
Module_7605,12,8,11,11
Module_3783,39,23,22,32
Module_12900,10,4,23,4
Module_7606,19,12,47,58
Module_5514,62,93,19,28
Module_12901,38,22,43,21
Module_5515,57,94,18,25
Module_12902,38,21,40,21
Module_5516,57,94,18,25
Module_12903,42,29,55,37
Module_12904,62,49,53,28
Module_12905,58,36,46,34
Module_33303,9,6,13,18
Module_33304,26,42,14,24
Module_7607,96,44,58,62
Module_33305,25,36,13,23
Module_7608,104,49,68,66
Module_33306,30,37,20,25
Module_7609,87,43,70,68
Module_33307,16,28,24,18
Module_33308,18,10,4,17
Module_29167,3,12,30,17
Module_27450,12,9,6,12
Module_12906,29,7,15,26
Module_27451,9,3,4,13
Module_12907,22,8,29,34
Module_5517,33,23,18,3
Module_5518,8,11,16,22
Module_12908,56,33,47,68
Module_27452,4,0,10,12
Module_27453,18,10,4,0
Module_33309,14,2,8,12
Module_19435,16,13,38,37
Module_7610,17,16,5,2
Module_12909,69,63,67,81
Module_27454,36,50,14,27
Module_27455,11,8,15,14
Module_17329,25,19,53,65
Module_5519,3,4,13,10
Module_17330,24,26,55,72
Module_5520,48,28,56,57
Module_29168,114,67,91,95
Module_27456,26,42,20,28
Module_27457,24,20,35,19
Module_17331,11,7,11,12
Module_27458,30,21,11,26
Module_17332,29,22,31,21
Module_5521,8,8,15,25
Module_17333,37,21,39,25
Module_5522,55,23,73,58
Module_1,2,3,6,2
Module_12910,23,16,8,12
Module_12911,32,4,40,35
Module_22265,18,20,18,21
Module_5523,98,73,99,97
Module_17334,22,33,19,49
Module_12912,20,16,24,15
