Module,3hrs.H3K27ac_REPLICANT.1,3hrs.H3K27ac_REPLICANT.2,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2
Module_27442,16,15,8,21
Module_31180,56,85,35,78
Module_27443,20,10,11,16
Module_31181,31,52,29,62
Module_19430,6,12,15,14
Module_17318,61,90,56,84
Module_17319,7,16,13,22
Module_16510,3,1,2,2
Module_29165,8,12,11,17
Module_22263,6,27,12,24
Module_3777,33,38,42,73
Module_17320,11,3,5,7
Module_3778,20,22,22,34
Module_17321,10,4,6,8
Module_3779,47,61,48,69
Module_29166,15,12,16,20
Module_3780,20,19,13,23
Module_12888,21,16,12,21
Module_35479,23,23,14,25
Module_27444,17,25,10,31
Module_35480,21,23,16,26
Module_27445,23,41,21,50
Module_31182,23,37,39,38
Module_27446,41,56,34,66
Module_19431,34,54,32,53
Module_27447,14,15,20,30
Module_7597,23,42,33,41
Module_12889,25,29,35,73
Module_7598,30,61,19,60
Module_17322,34,62,43,80
Module_12890,28,34,36,69
Module_7599,27,51,19,46
Module_17323,37,68,46,82
Module_7600,28,49,20,43
Module_17324,39,101,46,94
Module_7601,13,21,17,33
Module_31183,25,37,29,39
Module_17325,34,84,34,72
Module_31184,31,52,34,49
Module_17326,48,89,28,74
Module_27448,11,14,10,9
Module_31185,37,54,38,48
Module_31186,36,52,39,51
Module_7602,26,33,36,46
Module_16511,23,31,19,39
Module_31187,16,11,20,20
Module_16512,16,21,15,28
Module_27449,9,17,15,21
Module_12891,36,63,46,80
Module_3781,6,3,7,12
Module_35481,12,13,13,20
Module_19432,8,5,5,15
Module_12892,32,53,28,49
Module_14411,59,50,32,58
Module_16513,10,3,7,7
Module_14412,18,25,21,34
Module_31188,26,32,30,47
Module_35482,8,10,10,25
Module_17327,26,41,36,58
Module_33302,58,106,66,96
Module_5505,29,44,49,98
Module_3782,6,10,15,13
Module_14413,33,34,22,41
Module_31189,11,13,7,18
Module_14414,26,26,21,33
Module_22264,14,29,15,20
Module_5506,19,21,22,48
Module_5507,27,22,33,40
Module_12893,16,17,27,31
Module_5508,18,18,20,36
Module_12894,16,16,26,26
Module_31190,16,31,17,38
Module_5509,21,16,23,37
Module_31191,16,32,15,38
Module_12895,11,11,12,21
Module_31192,16,31,14,37
Module_12896,11,11,11,21
Module_31193,14,27,16,36
Module_12897,17,12,13,31
Module_31194,14,15,15,33
Module_16514,30,43,29,42
Module_19433,7,8,10,21
Module_5510,13,22,16,39
Module_17328,18,18,20,29
Module_5511,11,15,13,30
Module_7603,5,6,11,13
Module_12898,16,10,17,19
Module_5512,50,106,58,158
Module_7604,2,9,9,20
Module_12899,13,15,27,42
Module_5513,18,20,23,55
Module_19434,45,55,37,56
Module_7605,3,5,7,16
Module_3783,26,40,15,49
Module_12900,6,5,8,15
Module_7606,21,27,19,37
Module_5514,56,97,41,74
Module_12901,17,24,18,42
Module_5515,45,82,35,60
Module_12902,16,22,19,42
Module_5516,43,85,38,63
Module_12903,22,37,30,59
Module_12904,18,44,27,63
Module_12905,8,7,8,11
Module_33303,13,16,23,28
Module_33304,33,92,34,106
Module_7607,44,93,29,76
Module_33305,23,72,27,78
Module_7608,48,118,35,85
Module_33306,14,51,25,53
Module_7609,45,110,25,69
Module_33307,37,40,31,52
Module_33308,26,18,31,40
Module_29167,19,12,26,32
Module_27450,7,9,8,17
Module_12906,11,12,5,21
Module_27451,5,6,7,12
Module_12907,8,1,6,16
Module_5517,7,12,17,25
Module_5518,11,15,15,22
Module_12908,19,39,28,44
Module_27452,6,9,5,2
Module_27453,1,1,5,3
Module_33309,10,16,10,16
Module_19435,26,21,12,35
Module_7610,24,20,14,26
Module_12909,38,84,40,74
Module_27454,20,14,12,22
Module_27455,6,7,15,13
Module_17329,38,58,41,67
Module_5519,12,18,24,31
Module_17330,35,63,38,61
Module_5520,16,12,7,16
Module_29168,20,38,24,53
Module_27456,30,25,23,40
Module_27457,19,22,15,26
Module_17331,22,30,27,36
Module_27458,19,26,22,29
Module_17332,41,57,32,62
Module_5521,15,19,14,21
Module_17333,42,65,39,57
Module_5522,13,18,18,35
Module_1,7,7,9,5
Module_12910,9,11,5,12
Module_12911,12,24,13,24
Module_22265,10,5,8,14
Module_5523,33,57,30,36
Module_17334,47,87,44,70
Module_12912,20,25,22,37
Module_22266,12,17,14,22
Module_17335,13,8,12,16
Module_17336,9,9,6,9
Module_33310,15,23,14,28
Module_17337,13,9,15,8
Module_12913,15,14,30,32
Module_12914,18,25,22,48
Module_5524,51,102,72,107
Module_22267,41,65,48,94
Module_22268,35,56,39,60
Module_17338,14,19,25,38
Module_22269,11,30,24,37
Module_22270,16,26,15,31
Module_5525,51,106,49,84
Module_22271,11,7,14,21
Module_5526,29,47,41,89
Module_16515,31,29,12,20
Module_3784,18,32,19,41
Module_7611,10,20,18,27
Module_16516,9,21,8,12
Module_12915,10,10,13,18
Module_3785,19,28,31,36
Module_12916,22,22,18,17
Module_16517,4,5,4,12
Module_35483,24,30,25,44
Module_33311,19,13,14,15
Module_17339,20,18,26,46
Module_5527,78,98,62,103
Module_12917,7,6,8,6
Module_5528,67,80,54,89
Module_12918,7,6,8,4
Module_5529,16,32,24,32
Module_5530,33,65,30,49
Module_29169,17,14,12,18
Module_33312,8,10,12,22
Module_5531,24,59,52,84
Module_33313,32,45,29,60
Module_14415,66,88,37,66
Module_5532,13,11,16,21
Module_14416,62,89,36,47
Module_12919,60,102,46,75
Module_29170,6,7,6,4
Module_2,10,22,17,25
Module_7612,29,68,30,48
Module_29171,11,15,13,15
Module_19436,3,8,10,10
Module_33314,12,9,9,16
Module_17340,17,26,19,35
Module_5533,35,42,18,41
Module_7613,24,45,25,38
Module_5534,38,62,25,61
Module_12920,14,23,15,37
Module_29172,3,2,8,8
Module_33315,17,12,18,27
Module_14417,13,35,18,24
Module_33316,20,13,18,29
Module_14418,19,18,11,28
Module_14419,15,17,8,21
Module_3,6,15,13,15
Module_14420,9,10,13,21
Module_4,40,58,30,65
Module_19437,10,8,20,23
Module_14421,73,141,58,114
Module_7614,8,10,15,15
Module_19438,14,15,22,28
Module_14422,7,10,9,14
Module_29173,11,10,7,7
Module_19439,7,12,9,20
Module_29174,19,17,13,23
Module_19440,5,3,11,12
Module_17341,14,12,8,20
Module_5535,11,10,7,11
Module_19441,16,20,23,36
Module_19442,18,35,32,28
Module_17342,43,40,32,40
Module_29175,1,3,2,1
Module_17343,12,17,9,14
Module_5,18,15,8,34
Module_19443,4,6,11,11
Module_14423,36,37,26,31
Module_6,20,18,23,38
Module_17344,33,41,24,35
Module_29176,10,11,11,6
Module_33317,12,15,8,11
Module_5536,13,11,9,12
Module_17345,6,8,9,16
Module_7,5,10,14,12
Module_19444,35,25,30,37
Module_17346,23,16,14,40
Module_27459,6,7,9,16
Module_19445,40,52,33,78
Module_33318,17,22,22,27
Module_17347,35,60,50,71
Module_29177,18,29,22,34
Module_17348,50,113,53,89
Module_29178,15,23,18,16
Module_17349,60,130,66,105
Module_19446,30,49,30,33
Module_19447,12,15,14,20
Module_17350,39,56,31,81
Module_19448,5,5,23,23
Module_5537,16,23,15,32
Module_8,24,24,17,45
Module_5538,15,24,18,27
Module_9,29,29,17,49
Module_5539,14,24,19,28
Module_14424,29,51,38,65
Module_10,36,67,26,66
Module_5540,22,26,25,27
Module_33319,15,11,11,22
Module_27460,12,20,19,35
Module_27461,4,9,6,10
Module_5541,27,34,25,41
Module_11,21,15,20,25
Module_5542,24,23,19,36
Module_12,18,13,21,24
Module_33320,26,43,36,32
Module_13,18,18,20,21
Module_5543,39,62,36,46
Module_27462,9,11,9,22
Module_19449,56,110,45,101
Module_5544,24,25,23,33
Module_33321,17,18,15,17
Module_14,20,32,23,38
Module_15,9,15,23,26
Module_19450,9,11,14,22
Module_17351,46,65,46,76
Module_19451,10,16,15,17
Module_17352,44,73,56,92
Module_19452,7,10,3,10
Module_16,62,99,50,88
Module_27463,5,5,8,9
Module_27464,27,45,23,53
Module_17,23,16,21,34
Module_27465,6,12,7,13
Module_18,13,19,11,23
Module_19,28,47,19,49
Module_20,47,121,45,96
Module_3786,5,5,9,8
Module_37084,26,38,20,48
Module_19453,13,13,21,29
Module_21,39,41,23,52
Module_3787,52,100,37,70
Module_17353,14,12,17,24
Module_3788,65,125,44,82
Module_17354,17,14,16,23
Module_27466,6,6,17,20
Module_17355,46,57,43,57
Module_17356,32,48,39,81
Module_29179,7,11,15,16
Module_17357,17,19,26,31
Module_29180,6,14,15,18
Module_17358,20,19,29,36
Module_29181,6,16,14,18
Module_17359,19,20,27,31
Module_33322,68,104,54,88
Module_19454,4,11,13,13
Module_17360,13,8,10,19
Module_29182,13,11,6,9
Module_27467,16,24,25,39
Module_3789,5,3,7,5
Module_17361,6,8,6,11
Module_33323,30,47,19,39
Module_22,39,38,36,55
Module_27468,16,23,19,46
Module_17362,10,24,13,31
Module_27469,13,26,19,41
Module_33324,18,12,26,30
Module_33325,16,16,10,22
Module_27470,11,23,14,19
Module_33326,16,16,15,24
Module_27471,25,44,24,36
Module_23,20,31,33,60
Module_29183,12,20,19,33
Module_24,19,24,29,53
Module_27472,17,23,5,24
Module_29184,16,30,16,32
Module_27473,12,24,4,20
Module_29185,23,29,18,38
Module_27474,20,37,11,34
Module_29186,6,8,10,16
Module_27475,8,7,11,16
Module_29187,11,9,6,12
Module_27476,14,17,18,22
Module_27477,12,15,13,15
Module_25,61,69,62,80
Module_17363,46,49,48,70
Module_33327,5,14,11,18
Module_3790,10,9,8,13
Module_29188,8,8,11,14
Module_33328,10,14,8,16
Module_3791,11,8,7,13
Module_27478,7,11,11,11
Module_29189,16,21,16,17
Module_12921,7,7,15,8
Module_27479,18,17,28,29
Module_33329,24,19,18,27
Module_33330,15,17,12,16
Module_17364,107,187,61,131
Module_33331,27,17,17,43
Module_17365,44,98,52,65
Module_12922,16,14,17,17
Module_29190,13,10,8,20
Module_12923,16,19,14,33
Module_33332,13,19,24,34
Module_27480,22,33,17,27
Module_12924,7,4,8,16
Module_27481,23,16,10,20
Module_27482,57,55,19,37
Module_33333,15,9,13,19
Module_17366,13,13,19,18
Module_17367,11,16,25,21
Module_26,18,29,26,50
Module_17368,11,19,14,17
Module_27,10,10,30,28
Module_17369,25,42,33,52
Module_33334,115,172,81,149
Module_7615,10,7,7,17
Module_33335,41,61,45,75
Module_28,20,13,17,36
Module_17370,74,173,66,134
Module_29,31,36,41,50
Module_30,54,56,45,56
Module_3792,8,11,10,9
Module_17371,14,29,16,35
Module_3793,7,8,6,12
Module_14425,35,74,40,50
Module_3794,11,8,9,7
Module_14426,42,90,47,75
Module_33336,37,83,33,67
Module_27483,9,11,3,16
Module_22272,8,16,6,13
Module_14427,11,9,14,13
Module_33337,43,54,29,51
Module_31,8,22,12,24
Module_33338,43,68,36,59
Module_32,87,129,85,154
Module_29191,16,27,23,25
Module_29192,20,28,20,31
Module_33,31,48,49,92
Module_27484,14,17,12,15
Module_33339,5,12,11,19
Module_29193,31,48,38,62
Module_33340,11,19,14,17
Module_29194,25,21,20,44
Module_33341,14,21,22,25
Module_34,21,26,19,48
Module_29195,24,15,23,44
Module_35,21,26,20,48
Module_29196,25,15,25,43
Module_33342,15,18,23,28
Module_36,24,26,22,45
Module_33343,16,17,21,29
Module_29197,22,18,24,42
Module_33344,19,14,20,24
Module_29198,21,24,26,36
Module_29199,27,23,37,49
Module_29200,34,48,45,70
Module_33345,17,29,15,29
Module_29201,32,24,40,67
Module_14428,34,53,22,50
Module_29202,64,82,82,125
Module_37,21,23,31,41
Module_17372,31,45,39,58
Module_33346,9,13,10,17
Module_7616,9,9,7,17
Module_17373,30,27,18,50
Module_33347,17,12,14,17
Module_33348,11,5,13,3
Module_29203,8,7,10,6
Module_33349,22,19,12,23
Module_29204,12,23,31,36
Module_33350,15,18,16,14
Module_27485,10,5,7,7
Module_33351,10,20,22,22
Module_29205,34,40,53,64
Module_14429,18,38,23,49
Module_17374,52,71,32,65
Module_29206,16,11,28,28
Module_38,48,59,37,83
Module_29207,24,21,25,41
Module_17375,30,42,22,45
Module_12925,24,23,29,51
Module_3795,24,27,16,34
Module_22273,7,11,7,16
Module_27486,13,29,21,47
Module_14430,13,17,10,24
Module_33352,31,38,22,35
Module_7617,25,38,25,38
Module_22274,44,85,45,101
Module_14431,50,112,31,84
Module_17376,34,27,29,43
Module_39,14,15,22,26
Module_17377,42,64,37,66
Module_40,13,14,23,24
Module_41,41,57,50,94
Module_42,5,13,11,15
Module_33353,8,10,9,15
Module_43,9,6,3,17
Module_17378,19,40,29,45
Module_17379,19,16,17,26
Module_44,15,18,12,22
Module_27487,5,9,7,8
Module_22275,10,18,14,12
Module_45,12,16,14,22
Module_12926,6,7,8,13
