Module_12866	20	11
Module_12867	5	5
Module_22239	26	16
Module_29147	20	17
Module_5484	36	25
Module_17294	58	79
Module_35467	2	6
Module_12868	17	13
Module_12869	23	4
Module_35468	8	4
Module_12870	21	5
Module_35469	8	4
Module_12871	22	6
Module_29148	6	5
Module_5485	4	6
Module_29149	30	6
Module_12872	22	18
Module_29150	12	5
Module_35470	16	7
Module_12873	21	12
Module_12874	22	17
Module_5486	79	81
Module_7590	12	13
Module_29151	4	1
Module_12875	14	16
Module_5487	4	0
Module_16504	7	6
Module_17295	39	43
Module_17296	45	46
Module_16505	20	14
Module_12876	11	12
Module_29152	0	2
Module_19428	35	30
Module_37083	104	70
Module_17297	19	8
Module_12877	23	12
Module_16506	13	8
Module_35471	26	16
Module_35472	1	0
Module_29153	22	12
Module_35473	15	10
Module_17298	116	69
Module_29154	14	10
Module_17299	74	43
Module_29155	39	17
Module_29156	8	3
Module_29157	18	14
Module_35474	17	20
Module_29158	19	9
Module_35475	52	40
Module_17300	26	20
Module_29159	17	16
Module_17301	24	27
Module_29160	19	21
Module_29161	20	11
Module_29162	19	6
Module_17302	34	40
Module_17303	29	12
Module_22240	6	0
Module_5488	53	43
Module_17304	43	18
Module_35476	2	8
Module_33291	11	7
Module_17305	9	10
Module_17306	17	31
Module_12878	73	47
Module_22241	10	2
Module_35477	23	18
Module_5489	8	7
Module_31179	66	39
Module_22242	24	20
Module_33292	16	17
Module_33293	60	39
Module_5490	51	29
Module_22243	21	11
Module_5491	47	23
Module_22244	27	17
Module_5492	37	21
Module_22245	29	16
Module_5493	36	22
Module_22246	24	19
Module_5494	23	21
Module_33294	16	9
Module_5495	25	23
Module_33295	16	9
Module_5496	26	24
Module_33296	37	25
Module_17307	11	13
Module_33297	28	16
Module_22247	10	6
Module_27434	50	31
Module_27435	8	2
Module_27436	10	12
Module_17308	31	39
Module_12879	7	10
Module_17309	33	38
Module_5497	14	28
Module_27437	13	20
Module_12880	8	8
Module_5498	15	28
Module_12881	8	7
Module_33298	9	10
Module_17310	26	27
Module_16507	12	17
Module_16508	13	18
Module_22248	3	6
Module_17311	19	16
