Module,Gene
Module_22831,BLCAP
Module_6061,COMMD9
Module_6081,COMMD9
Module_1094,C1orf216
Module_1098,C1orf216
Module_1094,PSMB2
Module_1098,PSMB2
Module_1098,AGO4
Module_1098,CLSPN
Module_18480,PSENEN
Module_18480,IGFLR1
Module_18480,U2AF1L4
Module_18480,LIN37
Module_18480,UPK1A-AS1
Module_18480,ARHGAP33
Module_18480,ZBTB32
Module_22845,CTNNBL1
Module_18496,LRFN3
Module_18496,APLP1
Module_18496,KIRREL2
Module_18496,NFKBID
Module_18496,HCST
Module_9757,DCLK1
Module_9760,DCLK1
Module_9761,DCLK1
Module_6081,TRAF6
Module_6081,PRR5L
Module_6081,C11orf74
Module_37438,MELK
Module_37438,RNF38
Module_9760,SOHLH2
Module_9761,SOHLH2
Module_9761,SPG20
Module_9761,CCDC169
Module_29489,SLC1A3
Module_31823,PPIL1
Module_31823,C6orf89
Module_33923,ELMO1
Module_33926,ELMO1
Module_33927,ELMO1
Module_33928,ELMO1
Module_31836,PIM1
Module_31836,TBC1D22B
Module_31836,RNF8
Module_31836,CMTR1
Module_31852,CMTR1
Module_22868,PPP1R16B
Module_22868,ACTR5
Module_19897,NDUFAF7
Module_19902,NDUFAF7
Module_19897,CEBPZ
Module_19902,CEBPZ
Module_19897,GPATCH11
Module_19902,GPATCH11
Module_19897,PRKD3
Module_19902,PRKD3
Module_19897,QPCT
Module_19902,QPCT
Module_19897,HEATR5B
Module_19902,HEATR5B
Module_23630,SETD4
Module_23630,CBR1
Module_23630,DOPEY2
Module_31852,CCDC167
Module_37462,FBXO10
Module_37462,TOMM5
Module_24501,C1QTNF6
Module_15255,ERBB2
Module_15255,PGAP3
Module_15255,MIEN1
Module_15255,PNMT
Module_15255,GRB7
Module_24521,CDC42EP1
Module_24521,CARD10
Module_1152,RSPO1
Module_1152,CDCA8
Module_1152,C1orf109
Module_24536,EIF3L
Module_24536,TRIOBP
Module_24536,ANKRD54
Module_24536,GCAT
Module_24536,H1F0
Module_23642,HLCS
Module_23642,PIGP
Module_23642,TTC3
Module_24548,POLR2F
Module_24551,POLR2F
Module_24548,C22orf23
Module_24551,C22orf23
Module_24548,SOX10
Module_24551,SOX10
Module_24561,PICK1
Module_1175,POU3F1
Module_1175,FHL3
Module_11738,SPRED1
Module_24589,CSNK1E
Module_24589,TMEM184B
Module_24589,LOC400927
Module_36015,TM2D2
Module_36015,ADAM9
Module_36015,TACC1
Module_27921,KLHL5
Module_27921,FAM114A1
Module_27921,WDR19
Module_27921,RFC1
Module_18566,ACTN4
Module_18567,ACTN4
Module_18566,EIF3K
Module_18567,EIF3K
Module_18566,MAP4K1
Module_18567,MAP4K1
Module_9789,FREM2
Module_1185,AKIRIN1
Module_18581,FBXO27
Module_18581,FBXO17
Module_27931,UGDH-AS1
Module_27931,LIAS
Module_27931,RPL9
Module_1196,NDUFS5
Module_24642,PDGFB
Module_22887,PLCG1
Module_36028,IDO1
Module_24670,MGAT3
Module_11747,EIF2AK4
Module_11747,GPR176
Module_27949,RHOH
Module_27949,CHRNA9
Module_22899,CHD6
Module_11758,SRP14-AS1
Module_11761,SRP14-AS1
Module_11758,SRP14
Module_11761,SRP14
Module_11761,BMF
Module_11761,BUB1B
Module_24690,FAM83F
Module_24690,LOC100130899
Module_15396,NAGLU
Module_11798,RPUSD2
Module_11798,C15orf57
Module_11798,CHST14
Module_15407,CNTNAP1
Module_15407,TUBG2
Module_15407,CCR10
Module_15407,PLEKHH3
Module_15407,FAM134C
Module_15407,TUBG1
Module_15407,EZH1
Module_15407,RAMP2
Module_15407,RAMP2-AS1
Module_18630,C19orf47
Module_18630,PLD3
Module_18630,BLVRB
Module_18630,SERTAD3
Module_18630,PRX
Module_18630,SERTAD1
Module_18630,AKT2
Module_18647,LTBP4
Module_18647,SHKBP1
Module_18647,NUMBL
Module_36059,SFRP1
Module_11829,CHAC1
Module_9813,ELF1
Module_9813,WBP4
Module_9813,MRPS31
Module_9813,FOXO1
Module_9813,SLC25A15
Module_27978,UCHL1
Module_27978,LIMCH1
Module_24724,SLC25A17
Module_24724,RBX1
Module_24725,RBX1
Module_24726,RBX1
Module_24724,ST13
Module_24725,ST13
Module_24724,EP300
Module_24725,EP300
Module_24726,EP300
Module_24726,L3MBTL2
Module_24728,L3MBTL2
Module_24730,L3MBTL2
Module_31901,MDFI
Module_31904,MDFI
Module_31901,FOXP4
Module_15428,ETV4
Module_15428,DHX8
Module_36073,ANK1
Module_36074,ANK1
Module_24730,ZC3H7B
Module_24735,ZC3H7B
Module_24730,RANGAP1
Module_24735,RANGAP1
Module_31912,TFEB
Module_31912,TOMM6
Module_24735,PHF5A
Module_24735,TOB2
Module_24735,TEF
Module_11836,TYRO3
Module_11841,TYRO3
Module_11836,RPAP1
Module_11841,RPAP1
Module_11841,MGA
Module_31936,GUCA1A
Module_31936,C6orf132
Module_31936,MRPS10
Module_31936,TAF8
Module_33971,GLI3
Module_19958,PKDCC
Module_19964,PKDCC
Module_15462,ASB16-AS1
Module_15463,ASB16-AS1
Module_15462,UBTF
Module_15463,UBTF
Module_15462,C17orf53
Module_15463,C17orf53
Module_15462,TMUB2
Module_15463,TMUB2
Module_15462,ATXN7L3
Module_15463,ATXN7L3
Module_15462,HDAC5
Module_15463,HDAC5
Module_24755,CENPM
Module_24755,SEPT3
Module_16908,SETBP1
Module_16909,SETBP1
Module_15469,RUNDC3A
Module_9825,AKAP11
Module_9825,VWA8
Module_9827,VWA8
Module_9825,DGKH
Module_9827,DGKH
Module_9837,DGKH
Module_15492,FZD2
Module_18720,GSK3A
Module_18720,ERF
Module_18720,CIC
Module_18720,DEDD2
Module_18720,ZNF526
Module_18720,PAFAH1B3
Module_18720,MEGF8
Module_18720,PRR19
Module_8147,PRICKLE1
Module_24802,CYB5R3
Module_24802,SERHL2
Module_24802,POLDIP3
Module_24802,A4GALT
Module_24810,A4GALT
Module_24802,RRP7A
Module_9837,TNFSF11
Module_11872,TTBK2
Module_15529,PLCD3
Module_15530,PLCD3
Module_15533,PLCD3
Module_15529,ACBD4
Module_15530,ACBD4
Module_15533,ACBD4
Module_15529,HEXIM2
Module_15530,HEXIM2
Module_15533,HEXIM2
Module_15533,MAP3K14-AS1
Module_15533,NMT1
Module_15533,DCAKD
Module_31997,TJAP1
Module_32000,TJAP1
Module_31997,ABCC10
Module_32000,ABCC10
Module_31997,ZNF318
Module_31997,POLR1C
Module_31997,CRIP3
Module_24824,TSPO
Module_24824,PACSIN2
Module_24824,BIK
Module_24824,MCAT
Module_24824,TTLL1
Module_1264,SLC2A1
Module_1264,SLC2A1-AS1
Module_32020,VEGFA
Module_32020,MRPS18A
Module_4190,ZNF239
Module_4190,HNRNPF
Module_4190,RASGEF1A
Module_4190,ZNF32
Module_4190,ZNF485
Module_4190,RET
Module_32031,C6orf223
Module_23744,PDE9A
Module_23744,SLC37A1
Module_23744,TMPRSS3
Module_6104,ALKBH3
Module_6104,C11orf96
Module_23763,PKNOX1
Module_23764,PKNOX1
Module_23765,PKNOX1
Module_23763,WDR4
Module_23765,WDR4
Module_23763,NDUFV3
Module_23764,NDUFV3
Module_23765,NDUFV3
Module_20008,PPM1B
Module_22977,TNNC2
Module_22977,ACOT8
Module_22977,ZSWIM1
Module_22977,ZSWIM3
Module_22977,SNX21
Module_22977,UBE2C
Module_22977,CTSA
Module_1306,DPH2
Module_1306,SLC6A9
Module_1306,ATP6V0B
Module_1306,B4GALT2
Module_1306,CCDC24
Module_1306,IPO13
Module_16926,HDHD2
Module_16932,HDHD2
Module_16926,IER3IP1
Module_16932,IER3IP1
Module_16933,IER3IP1
Module_16926,KATNAL2
Module_6125,TSPAN18
Module_4208,CXCL12
Module_1319,RNF220
Module_1321,RNF220
Module_1319,ERI3
Module_1321,ERI3
Module_6147,TP53I11
Module_6148,TP53I11
Module_1323,KIF2C
Module_1338,KIF2C
Module_1323,TMEM53
Module_9871,NUFIP1
Module_9871,SERP2
Module_9871,TSC22D1
Module_1338,RPS8
Module_1338,PLK3
Module_24905,PHF21B
Module_24907,NUP50
Module_34056,ADCY1
Module_24918,KIAA0930
Module_24918,FAM118A
Module_25571,LIMD1-AS1
Module_25571,SACM1L
Module_15568,NPEPPS
Module_15568,TBKBP1
Module_15568,KPNB1
Module_15568,OSBPL7
Module_24923,FBLN1
Module_24924,FBLN1
Module_6176,MAPK8IP1
Module_6177,MAPK8IP1
Module_6176,PEX16
Module_6177,PEX16
Module_6177,CRY2
Module_6177,PHF21A
Module_23031,ZMYND8
Module_23031,LOC100131496
Module_18822,PPM1N
Module_18822,RTN2
Module_18822,VASP
Module_15587,CDK5RAP3
Module_15589,CDK5RAP3
Module_15597,CDK5RAP3
Module_15589,PRR15L
Module_15589,PNPO
Module_15589,NFE2L1
Module_15597,NFE2L1
Module_18829,EML2
Module_18829,OPA3
Module_15597,CBX1
Module_15597,SNX11
Module_25576,TDGF1
Module_25579,TDGF1
Module_25584,TDGF1
Module_25576,LRRC2
Module_25579,LRRC2
Module_25584,LRRC2
Module_1366,LURAP1
Module_1366,POMGNT1
Module_1366,RAD54L
Module_1366,PIK3R3
Module_1366,UQCRH
Module_1366,LRRC41
Module_32076,SLC25A27
Module_32076,PLA2G7
Module_23893,COL18A1
Module_23893,COL18A1-AS1
Module_23893,COL18A1-AS2
Module_23893,SLC19A1
Module_24945,CELSR1
Module_24948,CELSR1
Module_24945,GRAMD4
Module_1383,DMBX1
Module_13583,DNAJA2
Module_13583,GPT2
Module_6224,C11orf49
Module_16959,RPL17-C18orf32
Module_16961,RPL17-C18orf32
Module_16959,RPL17
Module_16961,RPL17
Module_16959,DYM
Module_16961,DYM
Module_16959,C18orf32
Module_16961,C18orf32
Module_16959,LIPG
Module_16961,LIPG
Module_1393,MKNK1
Module_15612,SNF8
Module_15614,SNF8
Module_15612,ATP5G1
Module_15614,ATP5G1
Module_15612,CALCOCO2
Module_15614,CALCOCO2
Module_15612,UBE2Z
Module_15614,UBE2Z
Module_15612,IGF2BP1
Module_15614,IGF2BP1
Module_15614,TTLL6
Module_6226,PACSIN3
Module_18892,SLC1A5
Module_18893,SLC1A5
Module_18897,SLC1A5
Module_18892,STRN4
Module_18893,STRN4
Module_18892,FKRP
Module_18893,FKRP
Module_18897,AP2S1
Module_18897,ARHGAP35
Module_23053,PREX1
Module_23057,PREX1
Module_32081,CD2AP
Module_6248,KBTBD4
Module_6248,PSMC3
Module_6248,CELF1
Module_6248,NDUFS3
Module_6248,MTCH2
Module_6248,FNBP4
Module_6248,C1QTNF4
Module_18911,ZC3H4
Module_18913,ZC3H4
Module_18911,TMEM160
Module_18911,SAE1
Module_18913,SAE1
Module_18915,SAE1
Module_18914,BBC3
Module_18915,BBC3
Module_18916,BBC3
Module_18915,DHX34
Module_6257,PTPRJ
Module_16994,MAPK4
Module_16994,ME2
Module_15672,COL1A1
Module_15675,TMEM92
Module_8210,COL2A1
Module_8213,COL2A1
Module_8210,TMEM106C
Module_25640,ATRIP
Module_25640,SHISA5
Module_25640,PFKFB4
Module_25640,CCDC51
Module_25640,TMA7
Module_25640,PLXNB1
Module_25640,COL7A1
Module_8216,SENP1
Module_8216,ASB8
Module_8216,PFKM
Module_36116,CEBPD
Module_23108,TMEM189
Module_23111,TMEM189
Module_23108,CEBPB
Module_23111,CEBPB
Module_24973,FAM19A5
Module_20074,STON1
Module_18975,TMEM143
Module_18983,TMEM143
Module_18975,ZNF114
Module_18975,EMP3
Module_18975,CARD8
Module_18975,KDELR1
Module_18983,KDELR1
Module_18983,GRIN2D
Module_18983,GRWD1
Module_18990,GRWD1
Module_18990,LMTK3
Module_18990,CYTH2
Module_8228,DDX23
Module_8232,DDX23
Module_8228,CACNB3
Module_8232,CACNB3
Module_8228,ADCY6
Module_8232,ADCY6
Module_8228,RND1
Module_8232,RND1
Module_25669,KLHDC8B
Module_25669,CCDC71
Module_25669,LAMB2
Module_19020,FUT1
Module_19020,RASIP1
Module_19020,BCAT2
Module_19020,FUT2
Module_19020,FGF21
Module_19020,IZUMO1
Module_19020,HSD17B14
Module_8232,ARF3
Module_8237,ARF3
Module_8248,ARF3
Module_8232,FKBP11
Module_8237,FKBP11
Module_8248,FKBP11
Module_32084,CENPQ
Module_32085,CENPQ
Module_32087,CENPQ
Module_32087,C6orf141
Module_8248,TUBA1A
Module_8261,TUBA1A
Module_8248,TUBA1B
Module_8248,LMBR1L
Module_8248,PRKAG1
Module_8248,RHEBL1
Module_8248,KMT2D
Module_8248,TUBA1C
Module_8261,TUBA1C
Module_23143,ADNP
Module_23148,ADNP
Module_23143,BCAS4
Module_23143,MOCS3
Module_23148,MOCS3
Module_23143,KCNG1
Module_23148,KCNG1
Module_23143,DPM1
Module_23148,DPM1
Module_23143,PARD6B
Module_19053,PPFIA3
Module_19054,PPFIA3
Module_19053,TRPM4
Module_19054,TRPM4
Module_19053,HRC
Module_19054,HRC
Module_19053,C19orf73
Module_19054,C19orf73
Module_19053,LIN7B
Module_19054,LIN7B
Module_8261,TROAP
Module_4281,ARHGAP22
Module_4281,MAPK8
Module_19067,PIH1D1
Module_19067,RPL13A
Module_19067,ALDH16A1
Module_19067,RPS11
Module_19067,FCGRT
Module_8273,MCRS1
Module_10620,RPL36AL
Module_10620,DNAAF2
Module_10620,POLE2
Module_10620,MGAT2
Module_10620,RPS29
Module_10620,LRR1
Module_25705,SEMA3F
Module_8291,BCDIN3D
Module_25713,RBM5-AS1
Module_25719,RBM5-AS1
Module_25713,RBM5
Module_25719,RBM5
Module_25719,CACNA2D2
Module_25725,CACNA2D2
Module_25719,TMEM115
Module_25719,CYB561D2
Module_25719,NPRL2
Module_34095,FIGNL1
Module_34095,GRB10
Module_34129,GRB10
Module_13651,ADCY7
Module_13651,BRD7
Module_13651,NKD1
Module_25725,HEMK1
Module_25725,C3orf18
Module_9936,TRIM13
Module_9936,DLEU1
Module_9936,SPRYD7
Module_25733,MAPKAPK3
Module_19109,MYH14
Module_19109,IZUMO2
Module_23163,ZFP64
Module_11945,USP8
Module_13664,SALL1
Module_13665,SALL1
Module_13666,SALL1
Module_13664,CYLD
Module_34123,COBL
Module_34129,COBL
Module_8314,SMAGP
Module_9952,LINC00371
Module_9966,LINC00371
Module_9952,FAM124A
Module_9966,FAM124A
Module_19163,VSIG10L
Module_19164,VSIG10L
Module_19163,ETFB
Module_19164,ETFB
Module_19163,IGLON5
Module_19164,IGLON5
Module_19163,LIM2
Module_19164,LIM2
Module_9966,WDFY2
Module_1435,EPS15
Module_1441,EPS15
Module_1435,TTC39A
Module_29576,ITGA2
Module_29576,PELO
Module_29576,ITGA1
Module_1441,OSBPL9
Module_25767,POC1A
Module_25767,ALAS1
Module_8323,FIGNL2
Module_8324,FIGNL2
Module_8326,FIGNL2
Module_8332,FIGNL2
Module_8332,ACVR1B
Module_25775,GLYCTK
Module_25775,WDR82
Module_19173,ZNF577
Module_19174,ZNF577
Module_19173,ZNF649
Module_19174,ZNF649
Module_19173,ZNF613
Module_19174,ZNF613
Module_8341,NR4A1
Module_8341,GRASP
Module_32118,ICK
Module_32119,ICK
Module_32118,FBXO9
Module_32119,FBXO9
Module_32118,GSTA4
Module_11971,ONECUT1
Module_11971,FAM214A
Module_11971,WDR72
Module_1464,ZYG11B
Module_1466,ZYG11B
Module_4319,CSTF2T
Module_4320,CSTF2T
Module_9993,HNRNPA1L2
Module_9993,PCDH8
Module_8371,IGFBP6
Module_8371,SPRYD3
Module_8371,EIF4B
Module_8371,LOC283335
Module_8387,CSAD
Module_8387,ZNF740
Module_8387,RARG
Module_8391,RARG
Module_8387,ESPL1
Module_8391,ESPL1
Module_8387,MFSD5
Module_8391,MFSD5
Module_1479,CPT2
Module_1484,CPT2
Module_1479,MAGOH
Module_1484,MAGOH
Module_1479,C1orf123
Module_1484,C1orf123
Module_1479,LRP8
Module_1484,LRP8
Module_1486,LRP8
Module_8399,MAP3K12
Module_8399,PCBP2
Module_8399,TARBP2
Module_8399,PRR13
Module_19223,CACNG7
Module_19237,CACNG7
Module_19223,MYADM
Module_19223,NLRP12
Module_19223,PRKCG
Module_19237,CACNG6
Module_8415,SMUG1
Module_8424,SMUG1
Module_8424,CBX5
Module_8424,COPZ1
Module_8432,COPZ1
Module_8424,HNRNPA1
Module_8424,HNRNPA1P10
Module_8424,NFE2
Module_29611,SKIV2L2
Module_29611,SLC38A9
Module_29612,SLC38A9
Module_29611,DHX29
Module_1504,MRPL37
Module_1504,CYB5RL
Module_29612,RNF138P1
Module_20091,SPTBN1
Module_36139,TCEA1
Module_8447,ITGA5
Module_15730,SCPEP1
Module_15730,COIL
Module_1516,TTC4
Module_1516,ACOT11
Module_10702,CGRRF1
Module_10702,SAMD4A
Module_10702,GMFB
Module_10702,CDKN3
Module_15744,MSI2
Module_34147,LANCL2
Module_34147,VOPP1
Module_11992,PIGB
Module_11992,CCPG1
Module_11992,RSL24D1
Module_11992,DYX1C1
Module_19277,PPP1R12C
Module_19284,PPP1R12C
Module_19284,TNNI3
Module_19284,TNNT1
Module_19284,DNAAF3
Module_19291,PPP6R1
Module_23202,BMP7
Module_23203,BMP7
Module_23202,CTCFL
Module_23203,CTCFL
Module_23203,MTRNR2L3
Module_17063,NEDD4L
Module_15765,MRPS23
Module_15765,CUEDC1
Module_12007,PRTG
Module_19340,EPN1
Module_19347,EPN1
Module_19340,ZNF579
Module_19347,ZNF579
Module_19340,ZNF524
Module_19347,ZNF524
Module_19340,ZNF581
Module_19347,ZNF581
Module_19340,FIZ1
Module_19347,FIZ1
Module_19340,ZNF784
Module_19347,ZNF784
Module_19340,SBK2
Module_19340,U2AF2
Module_19347,U2AF2
Module_19340,CCDC106
Module_19347,CCDC106
Module_8469,CD63
Module_8469,ITGA7
Module_8469,SARNP
Module_8469,ORMDL2
Module_8469,GDF11
Module_8469,BLOC1S1
Module_8469,BLOC1S1-RDH5
Module_8469,RDH5
Module_8469,METTL7B
Module_8469,DNAJC14
Module_8469,TMEM198B
Module_28090,SRD5A3
Module_8476,CDK2
Module_8476,RAB5B
Module_8476,SUOX
Module_8476,RPS26
Module_8476,PMEL
Module_8476,DGKA
Module_8476,ERBB3
Module_17086,ZNF532
Module_17086,MALT1
Module_17086,SEC11C
Module_17086,ALPK2
Module_28109,EXOC1
Module_28109,KIAA1211
Module_28109,CEP135
Module_25867,IL17RD
Module_25867,HESX1
Module_6272,RTN4RL2
Module_6277,RTN4RL2
Module_6278,RTN4RL2
Module_6280,RTN4RL2
Module_6272,SLC43A3
Module_6277,SLC43A3
Module_6278,SLC43A3
Module_6280,SLC43A3
Module_6272,TIMM10
Module_6277,TIMM10
Module_6278,TIMM10
Module_6280,TIMM10
Module_6289,TIMM10
Module_6272,SLC43A1
Module_6277,SLC43A1
Module_6278,SLC43A1
Module_6280,SLC43A1
Module_6289,SLC43A1
Module_6280,UBE2L6
Module_6289,UBE2L6
Module_6289,ZDHHC5
Module_6296,ZDHHC5
Module_6289,CLP1
Module_6296,CLP1
Module_6289,TMX2
Module_6296,TMX2
Module_6289,CTNND1
Module_6289,MED19
Module_6296,MED19
Module_6289,SERPING1
Module_6296,SERPING1
Module_8515,TAC3
Module_8515,NAB2
Module_8517,NAB2
Module_8515,STAT6
Module_8517,STAT6
Module_8515,ZBTB39
Module_17106,PMAIP1
Module_12029,CGNL1
Module_25879,SLMAP
Module_25884,SLMAP
Module_25892,SLMAP
Module_25901,SLMAP
Module_25879,DENND6A
Module_25879,ARF4
Module_25879,PDE12
Module_10740,EXOC5
Module_10740,AP5M1
Module_28128,REST
Module_28128,POLR2B
Module_28128,NOA1
Module_8543,GLI1
Module_8543,MARS
Module_8543,INHBE
Module_8543,DDIT3
Module_8543,R3HDM2
Module_8543,DCTN2
Module_8543,KIF5A
Module_8543,ARHGAP9
Module_15824,RPS6KB1
Module_15824,TUBD1
Module_25892,FLNB
Module_25901,FLNB
Module_13785,USB1
Module_13785,ZNF319
Module_13785,MMP15
Module_15830,HEATR6
Module_15830,CA4
Module_13804,GINS3
Module_25921,KCTD6
Module_25927,KCTD6
Module_13810,NDRG4
Module_13810,SETD6
Module_19392,ZNF606
Module_10748,C14orf37
Module_19398,ZNF544
Module_19398,ZNF274
Module_19398,ZNF329
Module_19398,ZSCAN18
Module_19398,ZNF135
Module_13818,GOT2
Module_1551,MYSM1
Module_17113,RNF152
Module_17115,RNF152
Module_12055,MYO1E
Module_36210,TOX
Module_29650,ELOVL7
Module_29650,DEPDC1B
Module_29650,NDUFAF2
Module_12063,FOXB1
Module_15862,MRC2
Module_15862,METTL2A
Module_15862,TLK2
Module_15862,MARCH10
Module_10015,DIAPH3
Module_10021,DIAPH3
Module_20129,BCL11A
Module_20129,PAPOLG
Module_23308,HRH3
Module_23308,MTG2
Module_23308,OSBPL2
Module_12076,RORA
Module_12076,ANXA2
Module_23317,CABLES2
Module_23317,ADRM1
Module_23317,RPS21
Module_23317,LAMA5
Module_10021,TDRD3
Module_10777,SIX4
Module_10778,SIX4
Module_10777,MNAT1
Module_10778,MNAT1
Module_6358,SYT7
Module_6358,DAGLA
Module_6368,DAGLA
Module_23363,DIDO1
Module_23363,SLC17A9
Module_23363,TCFL5
Module_23363,GID8
Module_36221,CHD7
Module_36221,RAB2A
Module_36221,CA8
Module_6368,FADS3
Module_6368,FADS1
Module_6368,TMEM258
Module_6368,FADS2
Module_6368,FEN1
Module_10780,TMEM30B
Module_23428,GMEB2
Module_23428,ZGPAT
Module_23437,ZGPAT
Module_23428,ZBTB46
Module_23437,ZBTB46
Module_23451,ZBTB46
Module_23428,ARFRP1
Module_23437,ARFRP1
Module_23428,RTEL1
Module_23428,HELZ2
Module_23428,STMN3
Module_23428,TNFRSF6B
Module_23437,TNFRSF6B
Module_6390,AHNAK
Module_6390,TUT1
Module_6390,EEF1G
Module_23437,SLC2A4RG
Module_23437,LIME1
Module_25946,C3orf14
Module_25946,PTPRG-AS1
Module_6401,GNG3
Module_6401,TTC9C
Module_6401,ZBTB3
Module_6401,UBXN1
Module_6401,METTL12
Module_6401,BSCL2
Module_6401,GANAB
Module_6401,POLR2G
Module_6401,TAF6L
Module_23451,DNAJC5
Module_23451,TPD52L2
Module_23451,ABHD16B
Module_1571,L1TD1
Module_25950,LINC00698
Module_25950,CADPS
Module_4371,TMEM26
Module_20165,LOC100132215
Module_6419,C11orf95
Module_6419,C11orf84
Module_6431,C11orf84
Module_6419,MARK2
Module_6430,MARK2
Module_6431,MARK2
Module_6419,RTN3
Module_15927,AXIN2
Module_15931,AXIN2
Module_15932,AXIN2
Module_15927,CEP112
Module_15931,CEP112
Module_15932,CEP112
Module_6430,NAA40
Module_6431,NAA40
Module_6432,NAA40
Module_6430,COX8A
Module_6431,COX8A
Module_6430,RCOR2
Module_6431,RCOR2
Module_6432,RCOR2
Module_6430,OTUB1
Module_6431,OTUB1
Module_1582,FOXD3
Module_1582,ALG6
Module_25968,ATXN7
Module_25968,THOC7
Module_25968,PSMD6
Module_25968,PRICKLE2-AS3
Module_29686,FAM159B
Module_29686,SREK1IP1
Module_6449,GPR137
Module_6451,GPR137
Module_6449,VEGFB
Module_6451,VEGFB
Module_6449,DNAJC4
Module_6451,DNAJC4
Module_6449,PLCB3
Module_6451,PLCB3
Module_6449,STIP1
Module_6449,FKBP2
Module_6451,FKBP2
Module_6449,TRPT1
Module_6451,TRPT1
Module_6449,NUDT22
Module_6451,NUDT22
Module_6449,BAD
Module_6451,BAD
Module_6449,PPP1R14B
Module_6451,PPP1R14B
Module_6451,TRMT112
Module_6451,ESRRA
Module_6451,PRDX5
Module_20182,WDPCP
Module_20182,UGP2
Module_20182,VPS54
Module_20182,PELI1
Module_20182,MDH1
Module_12118,HERC1
Module_1597,ROR1
Module_1597,ITGB3BP
Module_1597,EFCAB7
Module_1597,PGM1
Module_32196,PHF3
Module_6473,PYGM
Module_6474,PYGM
Module_6473,RASGRP2
Module_6474,RASGRP2
Module_6473,NRXN2
Module_6473,SF1
Module_6474,SF1
Module_6474,MAP4K2
Module_6474,MEN1
Module_25988,ADAMTS9
Module_10801,AKAP5
Module_10802,AKAP5
Module_10805,AKAP5
Module_10801,MTHFD1
Module_10802,MTHFD1
Module_10805,MTHFD1
Module_20200,SERTAD2
Module_20202,SERTAD2
Module_20200,AFTPH
Module_10805,HSPA2
Module_10805,ZBTB1
Module_10805,ZBTB25
Module_6503,SLC22A20
Module_6503,POLA2
Module_6503,CAPN1
Module_12144,PIF1
Module_12147,PIF1
Module_12144,RBPMS2
Module_12147,RBPMS2
Module_12144,PLEKHO2
Module_12147,PLEKHO2
Module_12144,SPG21
Module_12144,OAZ2
Module_12144,ZNF609
Module_29697,SREK1
Module_29697,NLN
Module_29697,CENPK
Module_29697,SGTB
Module_29697,PPWD1
Module_29697,TRIM23
Module_6519,MALAT1
Module_6520,MALAT1
Module_6519,NEAT1
Module_6519,SCYL1
Module_6520,SCYL1
Module_4395,REEP3
Module_4395,JMJD1C
Module_1626,AK4
Module_1626,JAK1
Module_1626,DNAJC6
Module_1637,DNAJC6
Module_12173,PARP16
Module_12175,PARP16
Module_12175,IGDCC3
Module_12176,IGDCC3
Module_12175,IGDCC4
Module_15955,NOL11
Module_10842,FUT8
Module_6575,BRMS1
Module_6575,CNIH2
Module_6575,RIN1
Module_6575,YIF1A
Module_6575,RAB1B
Module_6575,SLC29A2
Module_6575,CD248
Module_15970,WIPI1
Module_26001,LRIG1
Module_6604,RCE1
Module_6604,LRFN4
Module_36267,PDE7A
Module_36267,ARMC1
Module_36267,MTFR1
Module_12203,ZWILCH
Module_12203,SNAPC5
Module_12203,RPL4
Module_12203,LCTL
Module_10846,GPHN
Module_6634,CORO1B
Module_6634,RPS6KB2
Module_6634,PTPRCAP
Module_6634,PPP1CA
Module_6634,TMEM134
Module_13863,E2F4
Module_13863,KIAA0895L
Module_13863,B3GNT9
Module_13863,PLEKHG4
Module_13863,ELMO3
Module_13863,TMEM208
Module_13863,FHOD1
Module_13863,NOL3
Module_13863,C16orf70
Module_13863,SLC9A5
Module_12219,SMAD3
Module_6639,GSTP1
Module_15996,MAP2K6
Module_8632,GRIP1
Module_8632,CAND1
Module_29712,PIK3R1
Module_20230,ETAA1
Module_20233,ETAA1
Module_20234,ETAA1
Module_13878,ATP6V0D1
Module_13878,CTCF
Module_29717,SLC30A5
Module_6677,GAL
Module_6683,GAL
Module_6683,CPT1A
Module_8636,MDM1
Module_13917,CDH1
Module_13927,CDH1
Module_13917,ZFP90
Module_13917,CDH3
Module_1675,WLS
Module_13927,TANGO6
Module_12257,ANP32A
Module_20247,ANTXR1
Module_10869,ACTN1
Module_13945,NFAT5
Module_13946,NFAT5
Module_4406,DNAJC12
Module_4406,SIRT1
Module_4408,SIRT1
Module_4413,HERC4
Module_10888,CCDC177
Module_10891,CCDC177
Module_10888,ERH
Module_10898,SRSF5
Module_36296,SULF1
Module_10905,SMOC1
Module_12288,TLE3
Module_13960,IL34
Module_13974,IL34
Module_13960,DDX19B
Module_13960,EXOSC6
Module_13960,DDX19A
Module_13960,COG4
Module_13960,PDPR
Module_13960,SF3B3
Module_13960,AARS
Module_13960,ST3GAL2
Module_13960,FUK
Module_13960,LOC100506083
Module_4437,HK1
Module_4437,TSPAN15
Module_4437,SUPV3L1
Module_10929,TTC9
Module_36312,TRAM1
Module_36312,NCOA2
Module_36312,XKR9
Module_29743,MAP1B
Module_37526,CBWD6
Module_37576,CBWD6
Module_37578,CBWD6
Module_37597,CBWD6
Module_37526,PGM5P2
Module_37576,PGM5P2
Module_37578,PGM5P2
Module_37597,PGM5P2
Module_37526,FAM122A
Module_37526,PIP5K1B
Module_29744,PTCD2
Module_29744,MRPS27
Module_28155,RUFY3
Module_28155,GRSF1
Module_16033,SDK2
Module_6777,LRTOMT
Module_6777,ANAPC15
Module_6780,ANAPC15
