Module,Gene
Module_14468,DPH1
Module_14468,OVCA2
Module_5592,MRPL23
Module_5592,H19
Module_17467,MKNK2
Module_17467,BTBD2
Module_17467,AP3D1
Module_132,LOC100129534
Module_27528,HAUS3
Module_27528,MXD4
Module_14481,TSR1
Module_14481,SGSM2
Module_14481,SRR
Module_14481,METTL16
Module_14481,SMG6
Module_141,PEX10
Module_142,PEX10
Module_142,MORN1
Module_142,RER1
Module_149,FAM213B
Module_150,FAM213B
Module_151,FAM213B
Module_157,FAM213B
Module_149,PANK4
Module_150,PANK4
Module_151,PANK4
Module_151,HES5
Module_33421,LFNG
Module_33422,LFNG
Module_33423,LFNG
Module_33424,LFNG
Module_33431,LFNG
Module_33424,IQCE
Module_33431,IQCE
Module_33424,BRAT1
Module_33431,BRAT1
Module_33424,CHST12
Module_27551,FAM193A
Module_14492,CLUH
Module_14494,CLUH
Module_14495,CLUH
Module_14492,RAP1GAP2
Module_14494,RAP1GAP2
Module_14495,RAP1GAP2
Module_33445,TTYH3
Module_29246,IRX2
Module_29246,C5orf38
Module_27560,TNIP2
Module_27561,TNIP2
Module_27560,SH3BP2
Module_27561,SH3BP2
Module_33451,GNA12
Module_31218,SERPINB1
Module_31239,SERPINB1
Module_31218,SERPINB9
Module_31239,SERPINB9
Module_5612,CDKN1C
Module_5613,CDKN1C
Module_5612,SLC22A18
Module_5613,SLC22A18
Module_5612,PHLDA2
Module_7646,FKBP4
Module_7646,ITFG2
Module_31239,BPHL
Module_31239,RIPK1
Module_31239,NQO2
Module_31239,SERPINB6
Module_31239,WRNIP1
Module_31239,LINC01011
Module_13016,KREMEN2
Module_13016,PAQR4
Module_3797,PFKP
Module_16534,LPIN2
Module_16534,EMILIN2
Module_16534,DLGAP1
Module_16539,DLGAP1
Module_16550,DLGAP1
Module_13027,HCFC1R1
Module_13027,IL32
Module_13027,PKMYT1
Module_13027,THOC6
Module_13027,TNFRSF12A
Module_13027,CLDN6
Module_13027,LOC100128770
Module_13027,MMP25
Module_7661,TEAD4
Module_7661,TULP3
Module_13041,ZNF205
Module_13041,ZNF213
Module_7675,TSPAN9
Module_27584,RGS12
Module_31266,SLC22A23
Module_31270,SLC22A23
Module_16539,TGIF1
Module_29251,IRX1
Module_16550,DLGAP1-AS1
Module_178,TP73
Module_179,TP73
Module_180,TP73
Module_178,WRAP73
Module_179,WRAP73
Module_180,WRAP73
Module_179,MEGF6
Module_179,TP73-AS1
Module_180,TP73-AS1
Module_38964,LOC389906
Module_38964,PRKX
Module_31290,PRPF4B
Module_31290,FAM50B
Module_31290,ECI2
Module_13064,ADCY9
Module_13070,ADCY9
Module_14543,UBE2G1
Module_14543,ANKFY1
Module_13070,TFAP4
Module_13070,VASN
Module_17605,FSD1
Module_17605,MPND
Module_17605,STAP2
Module_7688,CCND2
Module_17611,SH3GL1
Module_17613,SH3GL1
Module_17614,SH3GL1
Module_17616,SH3GL1
Module_17611,CHAF1A
Module_17613,CHAF1A
Module_17614,CHAF1A
Module_17616,CHAF1A
Module_17616,UBXN6
Module_17622,SEMA6B
Module_17625,SEMA6B
Module_17625,TNFAIP8L1
Module_33472,FOXK1
Module_25071,BHLHE40
Module_25071,ARL8B
Module_25083,ARL8B
Module_29267,ADAMTS16
Module_25083,EDEM1
Module_17649,PTPRS
Module_33488,TNRC18
Module_7703,NTF3
Module_7707,NTF3
Module_3833,NET1
Module_33503,FBXL18
Module_33506,FBXL18
Module_33507,FBXL18
Module_33508,FBXL18
Module_33512,FBXL18
Module_33503,ACTB
Module_33506,ACTB
Module_33507,ACTB
Module_33508,ACTB
Module_33512,ACTB
Module_33503,FSCN1
Module_33506,FSCN1
Module_33507,FSCN1
Module_33508,FSCN1
Module_33512,FSCN1
Module_33506,RNF216
Module_33508,RNF216
Module_33512,RNF216
Module_33506,CCZ1
Module_33508,CCZ1
Module_33512,CCZ1
Module_19481,SOX11
Module_14590,WSCD1
Module_14591,WSCD1
Module_7712,VWF
Module_38971,NLGN4X
Module_3853,RBM17
Module_3853,PFKFB3
Module_216,LINC00337
Module_217,LINC00337
Module_216,ICMT
Module_217,ICMT
Module_216,GPR153
Module_217,GPR153
Module_216,RPL22
Module_217,RPL22
Module_216,HES3
Module_217,HES3
Module_7720,CD9
Module_7728,TNFRSF1A
Module_7728,CD27-AS1
Module_7728,SCNN1A
Module_7728,LTBR
Module_7728,PLEKHG6
Module_237,ACOT7
Module_237,TNFRSF25
Module_246,TNFRSF25
Module_237,PLEKHG5
Module_246,PLEKHG5
Module_237,ESPN
Module_246,ESPN
Module_246,NOL9
Module_246,ZBTB48
Module_37159,GLDC
Module_37160,GLDC
Module_37159,KDM4C
Module_37160,KDM4C
Module_37165,KDM4C
Module_37166,KDM4C
Module_37159,UHRF2
Module_7753,NOP2
Module_7753,ING4
Module_7753,IFFO1
Module_7753,CHD4
Module_7753,SCARNA10
Module_7753,GAPDH
Module_17699,SH2D3A
Module_17700,SH2D3A
Module_17702,SH2D3A
Module_17699,TRIP10
Module_17700,TRIP10
Module_17702,TRIP10
Module_17699,C3
Module_17700,C3
Module_17702,C3
Module_31313,RREB1
Module_17704,ZNF557
Module_14624,ASGR1
Module_14624,DLG4
Module_14624,ACADVL
Module_14624,DVL2
Module_14624,PHF23
Module_14624,GABARAP
